"","name","Amp","Q","X_peak","Y_peak","X_sig","Y_sig","method","amplitude","orientation","rss","rmse","deviance","AIC","R2","R2_adj"
"1","CALSTC01-LM-01-2918-cell1",1,-0.498688097963899,-10.3452032284174,2.73983433311316,9.00513028331199,9.01759804971091,"elliptical_log","constrained","unconstrained",0.764717446890835,0.14574687407462,0.764717446890835,-24.5000664923477,0.57106812186334,0.558452478388732
"2","CALSTC01-LM-01-2964-cell1",1,-1.31498219532184,-7.62711117045445,8.67038022396847,6.04839363866149,11.2197914102795,"elliptical_log","constrained","unconstrained",0.368491972864945,0.101172566119168,0.368491972864945,-50.7832160246496,0.734171089769851,0.726352592410141
"3","CALSTC01-LM-01-2964-cell2",1,-0.729202314731208,-4.42464857975357,2.22991785008451,2.1818873726922,2.87729563364018,"elliptical_log","constrained","unconstrained",1.5642272267253,0.208448449977267,1.5642272267253,1.2630016255227,0.747936779405413,0.740523155270278
"4","CALSTC01-LM-03-3009-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","CALSTC01-LM-03-3009-cell2",1,-0.793642994453577,-3.00975867856557,2.35783562431022,2.47303116034627,1.61744244588497,"elliptical_log","constrained","unconstrained",0.421561405236111,0.108212933766424,0.421561405236111,-45.9395412557902,0.835108237449472,0.830258479727398
"6","CALSTC01-LM-05-3226-cell1",1,-0.8625779325236,-3.61062127879274,2.32862404058188,1.54033670316172,1.51932042362552,"elliptical_log","constrained","unconstrained",1.16387936051961,0.179805401021927,1.16387936051961,-9.37979412986465,0.707357278562126,0.698750139696306
"7","CALSTC01-LM-06-3176-cell2",1,0.831815929509118,-7.9100952142593,-5.00254751715591,7.34130287045849,4.88749192525194,"elliptical_log","constrained","unconstrained",3.1283256902347,0.294784558347029,3.1283256902347,26.2148183808641,0.639511353842067,0.628908746602128
"8","CALSTC04-LM-01-3040-cell2",1,0.0909817782448069,-7.69546823210361,-0.633497820875893,3.80180739743512,7.49196207403875,"elliptical_log","constrained","unconstrained",1.94913578248905,0.215425148998829,1.94913578248905,2.23892842789259,0.543725645498086,0.532318786635538
"9","CALSTC04-LM-01-3289-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CALSTC04-LM-01-3289-cell2",1,-1.60361596715301,-6.97205060409614,9.64418938808088,5.82316224895485,11.8784329566879,"elliptical_log","constrained","unconstrained",0.982480258449006,0.152945699860861,0.982480258449006,-26.5336383808441,0.605322742585076,0.595455811149703
"11","CALSTC04-LM-01-3523-cell1",1,-1.01880678173971,-4.1575246056773,8.50162446720465,3.60995037390909,10.770610491203,"elliptical_log","constrained","unconstrained",0.565528378023983,0.116038620215527,0.565528378023983,-49.7310688838322,0.776612903314759,0.771028225897628
"12","CALSTC04-LM-01-3523-cell2",1,1.87552883590502,4.19131085353351,44.475071499808,23.7956452806321,26.7684995481582,"elliptical_log","constrained","unconstrained",0.882469929339599,0.14495236732734,0.882469929339599,-31.0425709153429,0.51158223314998,0.49937178897873
"13","CALSTC05-LM-01-3865-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CALSTC05-LM-03-3860-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CALSTC05-LM-03-3860-cell2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CALSTC06-LM-02-3472-cell1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CALSTC07-LM-04-3755-cell1",1,-0.825526785677528,-4.08948427864775,2.78976439776322,2.80626198417673,2.86061024355563,"elliptical_log","constrained","unconstrained",1.01426660414379,0.190325529792642,1.01426660414379,-1.4445261982189,0.653920491363281,0.6406097410311
"18","CALSTC07-LM-04-3755-cell2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CALSTC07-LM-05-3547-cell1",1,-0.624114190117539,-2.95115279079649,2.45537734186021,2.66270111477522,3.04765707068089,"elliptical_log","constrained","unconstrained",1.1373558571396,0.164559719738661,1.1373558571396,-20.3856290964672,0.714200032457082,0.707055033268509
"20","CALSTC07-LM-05-3547-cell2",1,-2.25320567433298,-8.9017300355354,11.5905289414024,9.69188949333573,9.77503439379096,"elliptical_log","constrained","unconstrained",0.824932086230798,0.140147208849668,0.824932086230798,-33.8743642404675,0.567066595060352,0.556243259936861
"21","CALSTC07-LM-05-3606-cell2",1,-0.038975279040584,115.859001664957,118.387063139171,174.947683038904,3.71978065960692,"elliptical_log","constrained","unconstrained",0.780766722614372,0.16698660367723,0.780766722614372,-8.77057662847577,0.550559729578099,0.533273565331102
