0,5,111.87,163.8,119.86,135.84,107.87,119.86,83.899,91.89,123.85,107.87,91.89,91.89,91.89,103.88,83.899,83.899,99.88,111.87,75.909,91.89
NaN,NaN,52.003,44.002,36.002,28.001,8.0004,32.002,44.002,72.004,56.003,44.002,44.002,48.003,36.002,20.001,28.001,20.001,16.001,12.001,16.001,12.001
45,5,96.002,140,92.002,88.002,80.002,108,64.001,72.001,72.001,60.001,56.001,60.001,76.002,76.002,52.001,64.001,48.001,48.001,40.001,56.001
NaN,NaN,35.802,0,23.868,3.978,7.9561,0,0,3.978,3.978,15.912,11.934,3.978,11.934,0,0,7.9561,3.978,11.934,11.934,0
90,5,72.001,68.001,60.001,64.001,40.001,36.001,56.001,16,20,8.0002,36.001,12,24,36.001,28.001,32.001,8.0002,32.001,48.001,40.001
NaN,NaN,8.0002,16,16,16,28.001,12,20.001,20.001,20.001,12,12,4.0001,8.0002,16,16,12,20.001,8.0002,32.001,36.001
135,5,76,68,56,64,76,52,60,44,60,56,56,56,52,64,76,52,52,40,20,28
NaN,NaN,36.002,60.003,68.004,64.003,44.002,64.003,56.003,60.003,44.002,40.002,48.003,72.004,48.003,32.002,68.004,52.003,52.003,68.004,48.003,44.002
180,5,88.001,44,64,60,68.001,64,64,40,60,64,60,56,36,56,48,52,40,48,60,32
NaN,NaN,67.999,67.999,59.999,63.999,79.999,59.999,67.999,75.999,67.999,43.999,40,40,43.999,47.999,40,43.999,40,28,47.999,59.999
225,5,48.003,32.002,28.002,4.0003,24.002,32.002,24.002,4.0003,28.002,16.001,24.002,0,20.001,24.002,24.002,40.003,24.002,32.002,28.002,12.001
NaN,NaN,36.001,16,20.001,28.001,12,52.001,24.001,28.001,24.001,52.001,32.001,40.001,8.0002,16,24.001,20.001,28.001,20.001,32.001,20.001
270,5,39.987,51.984,75.976,63.98,27.991,31.99,19.994,47.985,31.99,27.991,43.986,31.99,31.99,27.991,31.99,19.994,7.9975,35.989,27.991,39.987
NaN,NaN,27.933,23.942,15.961,23.942,27.933,15.961,19.952,43.894,39.904,39.904,39.904,31.923,47.884,43.894,43.894,27.933,27.933,23.942,11.971,31.923
315,5,76.002,92.002,88.002,64.001,96.002,72.001,76.002,76.002,48.001,64.001,80.002,52.001,60.001,56.001,36.001,60.001,68.001,64.001,56.001,64.001
NaN,NaN,32,28,16,24,44.001,52.001,24,28,32,12,8.0001,20,20,12,12,16,20,16,16,20
0,5,100,116,64.002,104,96.003,64.002,100,72.002,72.002,84.002,84.002,72.002,80.002,60.002,52.001,60.002,72.002,52.001,60.002,60.002
NaN,NaN,28.001,32.001,12,20.001,16,20.001,32.001,20.001,20.001,12,16,40.001,8.0002,16,12,20.001,16,20.001,4.0001,4.0001
45,5,80.001,88.001,76.001,72.001,76.001,48.001,52.001,64.001,48.001,68.001,60.001,44.001,40.001,56.001,48.001,52.001,24,52.001,40.001,60.001
NaN,NaN,32.001,28.001,12,16,16,16,12,0,8.0002,4.0001,12,8.0002,12,28.001,20.001,20.001,8.0002,16,16,20.001
90,5,88.002,76.002,56.002,36.001,44.001,20.001,48.001,28.001,20.001,20.001,28.001,32.001,16,48.001,28.001,32.001,28.001,32.001,20.001,44.001
NaN,NaN,20,20,4.0001,20,40.001,24,20,16,20,24,24,16,28,24,12,20,16,16,24,24
135,5,44.001,72.002,36.001,56.002,68.002,64.002,48.001,56.002,64.002,44.001,56.002,64.002,72.002,56.002,88.002,68.002,44.001,76.002,56.002,56.002
NaN,NaN,60.001,80.001,64.001,76.001,56.001,68.001,72.001,84.001,68.001,84.001,68.001,56.001,64.001,60.001,40.001,60.001,96.001,124,108,96.001
180,5,140,80.003,100,84.003,80.003,76.003,92.003,116,76.003,76.003,64.002,72.002,52.002,68.002,72.002,36.001,76.003,60.002,28.001,32.001
NaN,NaN,64.001,72.001,40.001,52.001,36.001,52.001,44.001,52.001,48.001,52.001,56.001,60.001,56.001,52.001,60.001,40.001,28.001,44.001,56.001,48.001
225,5,40.001,60.001,56.001,52.001,56.001,48.001,36.001,44.001,48.001,48.001,48.001,60.001,56.001,64.001,52.001,48.001,40.001,76.002,40.001,72.001
