0,5,36.004,44.005,88.01,60.007,44.005,76.009,56.006,48.005,32.004,28.003,72.008,44.005,44.005,44.005,16.002,48.005,48.005,32.004,32.004,36.004
NaN,NaN,12,24.001,32.001,20.001,40.001,28.001,12,24.001,36.001,40.001,44.002,12,20.001,44.002,12,24.001,28.001,48.002,20.001,120
45,5,80.002,80.002,88.002,68.001,76.002,76.002,72.001,48.001,76.002,64.001,64.001,60.001,36.001,72.001,36.001,48.001,60.001,36.001,40.001,36.001
NaN,NaN,64.002,28.001,24.001,32.001,40.001,56.002,16,44.001,28.001,44.001,24.001,16,36.001,48.001,52.001,28.001,32.001,36.001,40.001,40.001
90,5,28,48.001,44.001,40.001,40.001,48.001,20,48.001,32,48.001,52.001,56.001,52.001,48.001,16,24,52.001,40.001,28,12
NaN,NaN,16,40.001,28.001,24,24,44.001,28.001,32.001,28.001,20,36.001,16,44.001,12,16,44.001,28.001,28.001,16,20
135,5,40.001,20.001,40.001,36.001,28.001,28.001,44.001,32.001,24.001,36.001,28.001,72.002,32.001,32.001,16,16,48.001,20.001,12,32.001
NaN,NaN,44.001,20.001,20.001,20.001,44.001,40.001,16,12,28.001,20.001,24.001,24.001,32.001,28.001,28.001,12,8.0002,20.001,48.001,24.001
180,5,36.001,36.001,28.001,36.001,16,16,40.001,48.001,20,16,28.001,28.001,48.001,20,28.001,32.001,20,28.001,32.001,48.001
NaN,NaN,56.002,12,32.001,32.001,52.001,36.001,12,28.001,40.001,32.001,32.001,32.001,28.001,32.001,24.001,20.001,52.001,28.001,48.001,20.001
225,5,32.001,24,40.001,24,44.001,36.001,32.001,36.001,24,32.001,56.001,36.001,40.001,16,20,60.001,44.001,28.001,24,52.001
NaN,NaN,28.001,40.001,24.001,24.001,36.001,40.001,32.001,40.001,40.001,12,4.0001,32.001,16.001,44.002,28.001,32.001,24.001,44.002,32.001,48.002
270,5,12,56.001,48.001,56.001,40.001,48.001,60.001,44.001,64.001,32,64.001,40.001,44.001,44.001,56.001,60.001,36,48.001,40.001,56.001
NaN,NaN,32.001,52.001,32.001,48.001,44.001,52.001,24.001,24.001,68.002,16,40.001,40.001,32.001,80.002,40.001,68.002,44.001,48.001,48.001,16
315,5,20,64.001,48.001,28.001,52.001,28.001,84.002,56.001,60.001,56.001,56.001,52.001,52.001,44.001,48.001,44.001,48.001,44.001,52.001,44.001
NaN,NaN,32.001,36.001,12,24,44.001,28.001,20,68.001,28.001,32.001,36.001,56.001,36.001,40.001,48.001,32.001,68.001,24,16,24
0,5,48.001,36.001,52.001,72.002,36.001,68.002,28.001,16,48.001,48.001,48.001,44.001,24.001,48.001,32.001,48.001,24.001,32.001,40.001,16
NaN,NaN,24,28.001,32.001,16,48.001,32.001,24,28.001,28.001,28.001,64.001,28.001,20,40.001,36.001,32.001,36.001,32.001,16,24
45,5,60.002,40.001,60.002,48.002,52.002,52.002,40.001,52.002,32.001,28.001,36.001,32.001,28.001,60.002,28.001,28.001,32.001,24.001,40.001,24.001
NaN,NaN,36.001,32.001,32.001,40.001,36.001,16,36.001,28.001,20.001,8.0002,32.001,48.001,28.001,44.001,32.001,28.001,12,28.001,32.001,20.001
90,5,24,28,36,72.001,16,40,52,48,32,28,28,36,40,16,24,24,52,24,28,24
NaN,NaN,20.001,36.001,24.001,32.001,24.001,52.001,16,16,24.001,28.001,40.001,16,8.0002,32.001,32.001,24.001,24.001,44.001,36.001,28.001
135,5,16,44.001,32.001,52.001,36.001,12,44.001,40.001,12,28.001,52.001,44.001,48.001,36.001,24.001,28.001,48.001,40.001,28.001,36.001
NaN,NaN,136,136,140,140,112,124,112,128,124,104,76.002,52.001,44.001,52.001,48.001,52.001,36.001,48.001,28.001,44.001
180,5,36.001,84.002,40.001,16,32.001,32.001,68.001,40.001,48.001,60.001,60.001,36.001,28.001,28.001,36.001,40.001,32.001,16,28.001,28.001
NaN,NaN,16,16,8,36,16,16,12,20,36,20,8,40,24,24,48,40,16,32,28,32
225,5,32.002,20.001,36.002,52.002,72.003,60.003,36.002,24.001,48.002,136.01,132.01,128.01,100,108.01,68.003,36.002,44.002,20.001,48.002,40.002
NaN,NaN,44.001,40.001,128,140,108,52.001,52.001,32.001,32.001,16,32.001,40.001,36.001,24.001,24.001,48.001,32.001,32.001,24.001,44.001
270,5,28.001,24.001,40.001,16,124,20,36.001,32.001,68.002,68.002,28.001,40.001,52.001,40.001,36.001,28.001,40.001,44.001,88.002,80.002
NaN,NaN,60.001,36.001,40.001,36.001,28.001,12,52.001,48.001,32.001,24,40.001,72.001,16,28.001,36.001,40.001,28.001,16,20,20
