0,5,0,4,0,4,0,0,0,0,0,0,0,0,12,16,8.0001,16,8.0001,16,8.0001,0
NaN,NaN,0,0,0,0,0,0,4.0002,0,0,0,0,0,16.001,16.001,16.001,8.0003,4.0002,0,4.0002,0
45,5,0,0,0,0,4.0001,0,0,0,0,0,0,0,16,24.001,4.0001,0,0,0,0,0
NaN,NaN,0,0,0,8.0002,0,0,0,0,56.002,28.001,0,12,12,4.0001,0,0,0,0,4.0001,0
90,5,0,8.0002,8.0002,0,0,0,4.0001,12,0,0,0,8.0002,28.001,0,4.0001,4.0001,0,0,0,0
NaN,NaN,0,0,0,0,8.0002,12,0,0,0,8.0002,36.001,4.0001,0,0,12,4.0001,4.0001,4.0001,4.0001,0
135,5,4.0001,0,16,8.0002,0,0,0,0,0,0,0,4.0001,20,4.0001,0,16,0,0,0,12
NaN,NaN,0,0,0,0,4.0001,4.0001,0,0,4.0001,4.0001,0,0,0,0,8.0002,48.001,12,40.001,4.0001,16
180,5,16,8.0001,0,4.0001,4.0001,0,0,0,0,0,12,16,4.0001,4.0001,0,4.0001,16,0,0,0
NaN,NaN,0,0,0,4.0001,0,32.001,16,0,16,0,0,0,0,4.0001,0,0,0,12,52.002,8.0002
225,5,0,32.001,0,0,0,0,4.0001,8.0002,0,8.0002,12,0,0,0,4.0001,0,4.0001,4.0001,4.0001,0
NaN,NaN,8.0002,20.001,12,0,0,4.0001,12,0,0,4.0001,4.0001,8.0002,0,0,0,0,0,8.0002,8.0002,4.0001
270,5,0,36.001,16,4.0001,0,4.0001,4.0001,0,4.0001,0,0,0,0,8.0002,0,0,0,4.0001,0,8.0002
NaN,NaN,24,8.0002,8.0002,24,0,12,0,0,0,8.0002,0,0,0,12,0,4.0001,0,0,0,16
315,5,8.0001,12,32,8.0001,12,4,24,4,0,0,0,0,0,12,0,0,0,0,0,8.0001
NaN,NaN,20.001,8.0004,0,0,0,0,0,0,0,0,0,0,0,0,4.0002,60.003,24.001,4.0002,0,12.001
0,5,0,0,0,0,0,0,0,4.0001,4.0001,0,4.0001,0,0,4.0001,16,12,8.0001,0,8.0001,8.0001
NaN,NaN,0,0,0,0,0,12,0,0,12,36.001,20.001,28.001,8.0003,24.001,0,0,0,0,0,4.0001
45,5,16,0,12,4.0001,0,0,0,0,0,0,4.0001,0,0,0,0,0,16,20,0,0
NaN,NaN,0,0,0,0,0,0,8.0002,4.0001,20.001,20.001,8.0002,20.001,24.001,12,0,0,4.0001,4.0001,4.0001,4.0001
90,5,0,0,0,4.0001,4.0001,0,16,12,20,4.0001,4.0001,0,0,0,4.0001,4.0001,4.0001,0,0,0
NaN,NaN,32.001,4.0001,0,0,0,0,0,0,0,0,36.001,24.001,16,12,4.0001,4.0001,8.0002,0,0,0
135,5,4.0001,0,0,0,0,4.0001,0,0,4.0001,16,8.0002,4.0001,32.001,36.001,8.0002,0,0,0,0,0
NaN,NaN,16,0,4.0001,0,0,8.0002,32.001,12,0,0,0,8.0002,12,0,0,8.0002,0,4.0001,0,0
180,5,0,20.001,12,0,12,12,8.0002,8.0002,8.0002,0,0,4.0001,0,12,0,0,0,0,12,0
NaN,NaN,0,0,0,4.0001,20.001,16,16,4.0001,4.0001,0,0,0,0,0,12,4.0001,8.0002,0,4.0001,12
225,5,0,8.0002,20,28.001,4.0001,0,0,4.0001,0,0,0,0,0,0,4.0001,12,12,0,8.0002,4.0001
NaN,NaN,0,0,16,0,4.0001,0,0,0,4.0001,0,0,0,12,4.0001,4.0001,4.0001,0,0,44.001,12
270,5,0,0,0,0,4.0001,0,4.0001,8.0002,8.0002,4.0001,0,0,8.0002,0,4.0001,40.001,20,8.0002,12,12
NaN,NaN,20.001,0,4.0001,0,0,0,4.0001,4.0001,4.0001,4.0001,0,0,4.0001,8.0003,28.001,12,4.0001,4.0001,4.0001,4.0001
315,5,4.0001,0,0,0,0,4.0001,8.0002,0,0,0,4.0001,16,16,0,4.0001,20.001,20.001,0,0,0
NaN,NaN,0,8.0002,0,0,0,0,4.0001,0,0,0,0,16,24,0,0,0,4.0001,16,8.0002,0
0,5,0,0,16,0,0,0,0,4.0001,0,0,0,4.0001,28.001,12,4.0001,0,0,0,0,44.001
NaN,NaN,4.0001,0,0,0,0,0,8.0002,0,4.0001,4.0001,0,0,4.0001,0,16,8.0002,24.001,4.0001,12,8.0002
45,5,8.0002,4.0001,16,8.0002,0,0,0,4.0001,0,0,0,0,0,0,0,16,28.001,20,4.0001,20
NaN,NaN,0,0,4.0001,4.0001,0,0,0,0,4.0001,4.0001,4.0001,16,16,8.0002,16,12,0,0,0,4.0001
90,5,0,0,0,8.0002,8.0002,0,0,0,0,0,0,32.001,8.0002,8.0002,0,0,0,0,0,0
