0,2,43.947,39.952,27.966,35.957,31.962,27.966,31.962,35.957,23.971,23.971,19.976,31.962,15.981,27.966,35.957,11.986,11.986,11.986,11.986,7.9904
NaN,NaN,8,0,0,0,0,0,0,4,0,0,0,4,4,0,0,4,0,0,0,4
45,2,28,12,28,16,0,4,20,8,16,0,12,4,4,4,4,4,4,16,8,8
NaN,NaN,0,0,0,0,0,0,0,0,0,4.0004,0,0,8.0008,0,0,0,4.0004,0,0,0
90,2,4,12,16,4,4,0,0,8,4,12,12,12,0,4,8,12,4,4,8,4
NaN,NaN,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,4
135,2,0,0,0,0,0,0,8,0,0,4,0,0,4,0,0,0,0,4,0,0
NaN,NaN,0,8.0008,0,0,4.0004,0,4.0004,0,8.0008,0,0,0,0,0,0,4.0004,8.0008,0,0,0
180,2,0,0,0,16,4,4,8,4,0,0,0,4,0,0,0,4,0,0,0,0
NaN,NaN,8,0,4,0,0,4,4,0,0,8,4,0,4,0,0,0,0,0,0,12
225,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
NaN,NaN,4.0004,4.0004,4.0004,0,0,4.0004,0,0,4.0004,0,4.0004,0,8.0008,4.0004,4.0004,4.0004,0,0,0,4.0004
270,2,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0
NaN,NaN,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,4,8,0,0,0
315,2,28,12,16,8,0,12,4,4,12,8,0,8,8,0,4,12,4,4,0,0
NaN,NaN,0,3.9948,0,0,0,3.9948,0,0,0,0,0,0,3.9948,0,0,0,3.9948,0,0,0
0,2,28,24,20,12,4,20,16,16,12,16,0,12,0,8,8,8,8,8,8,8
NaN,NaN,0,4,0,0,0,4,0,0,0,0,4,8,0,0,0,0,0,0,4,0
45,2,24,20,12,8,8,8,8,8,12,4,8,4,4,8,0,4,0,4,4,4
NaN,NaN,0,0,0,0,0,0,4.0004,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,12,8,4,0,8,4,0,12,8,0,8,4,0,0,8,8,0,12,0,4
NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,4,0,0
135,2,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
NaN,NaN,4.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0004,0,8.0008,4.0004,4.0004
180,2,0,0,8,0,0,4,0,4,4,0,0,0,0,0,0,4,4,0,0,0
NaN,NaN,4,4,4,4,0,0,8,4,0,4,0,0,8,0,0,0,0,0,8,0
225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0
NaN,NaN,0,0,0,0,0,0,0,4.0004,4.0004,4.0004,0,0,0,0,4.0004,0,0,0,0,0
270,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
NaN,NaN,0,0,0,0,0,4,0,4,4,4,4,4,4,8,4,4,0,0,0,0
315,2,20,4,4,16,0,4,0,0,4,0,4,0,4,4,0,0,8,0,0,4
NaN,NaN,0,4.0004,0,4.0004,0,0,0,0,0,4.0004,0,0,0,0,4.0004,0,0,0,0,0
0,2,19.972,27.961,15.978,19.972,3.9944,3.9944,7.9888,7.9888,15.978,3.9944,11.983,7.9888,11.983,19.972,11.983,3.9944,0,11.983,0,3.9944
NaN,NaN,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
45,2,7.9896,7.9896,31.959,7.9896,19.974,11.984,7.9896,15.979,19.974,7.9896,0,0,0,0,7.9896,0,3.9948,7.9896,3.9948,3.9948
NaN,NaN,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,4,8,0
90,2,8,0,4,0,0,8,12,4,4,8,4,0,16,4,4,4,8,12,8,4
NaN,NaN,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,4,0,0,0
135,2,4.0004,4.0004,0,0,0,4.0004,0,0,0,0,4.0004,4.0004,4.0004,0,4.0004,0,0,0,4.0004,0
NaN,NaN,0,0,4,4,0,0,0,4,0,0,0,4,4,8,0,0,0,4,4,0
180,2,0,0,0,0,0,0,4,4,4,0,0,0,0,8,4,0,0,0,0,4
NaN,NaN,4,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,8,0,0
225,2,4.0004,4.0004,0,0,0,4.0004,0,0,0,0,4.0004,4.0004,0,0,0,0,4.0004,12.001,4.0004,0
NaN,NaN,4,0,0,0,4,0,0,0,0,4,4,0,4,0,0,4,0,0,4,0
270,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NaN,NaN,0,4,0,4,0,8,4,0,4,0,0,0,4,0,0,4,0,0,0,0
315,2,36.003,8.0008,12.001,8.0008,4.0004,0,4.0004,8.0008,0,4.0004,4.0004,0,8.0008,12.001,0,4.0004,12.001,4.0004,4.0004,4.0004
NaN,NaN,0,4,0,0,0,0,4,0,0,4,0,0,4,0,0,0,4,0,0,0
0,2,32,28,16,12,12,12,12,12,4,0,4,16,16,4,12,0,4,8,4,0
NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
45,2,16,20,16,8,8,4,12,0,8,4,4,0,4,8,4,4,0,0,4,4
NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0004,4.0004,4.0004
90,2,12,4,4,4,0,0,8,4,4,0,0,0,12,4,8,4,0,0,8,4
NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
135,2,4,0,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,4,0,0
NaN,NaN,0,0,0,4.0004,0,0,4.0004,0,4.0004,0,0,0,0,0,0,0,0,0,0,0
180,2,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,12
