0,1.05,35.004,65.008,50.006,35.004,60.007,40.005,40.005,45.005,35.004,50.006,45.005,40.005,40.005,40.005,35.004,60.007,40.005,45.005,30.004,70.009
NaN,NaN,30,25,40,30,30,40,35,35,35,30,20,35,35,20,25,20,15,30,85,30
45,1.05,45,45,50,65,80,80,55,60,105,70,50,50,40,75,65,75,70,65,50,45
NaN,NaN,40,25,50,25,60,55,30,30,30,45,40,25,35,15,40,45,25,20,40,20
90,1.05,90.001,65,105,95.001,90.001,85.001,85.001,85.001,55,110,75,90.001,70,105,95.001,110,100,95.001,75,85.001
NaN,NaN,50.006,30.004,40.005,25.003,30.004,30.004,30.004,70.008,30.004,25.003,25.003,65.008,35.004,35.004,15.002,25.003,35.004,25.003,25.003,20.002
135,1.05,109.81,104.82,79.86,89.843,79.86,89.843,59.895,69.878,84.852,74.869,79.86,74.869,69.878,64.886,74.869,94.834,84.852,54.904,79.86,84.852
NaN,NaN,65,45,30,45,25,30,45,50,25,50,40,30,15,70,35,40,30,55,30,25
180,1.05,120,105,90,45,60,35,15,35,50,35,50,45,60,65,40,80,55,60,40,65
NaN,NaN,30,25,35,45,30,45,25,35,30,30,25,20,25,15,25,35,50,20,35,25
225,1.05,65.008,40.005,55.007,50.006,50.006,50.006,55.007,50.006,20.002,45.006,40.005,45.006,40.005,15.002,40.005,25.003,20.002,50.006,20.002,40.005
NaN,NaN,30,40,35,25,25,25,25,40,40,15,40,25,20,50,35,40,30,65,30,30
270,1.05,35,30,45,45,50,20,45,40,35,35,15,40,20,40,25,20,45,25,50,15
NaN,NaN,30,20,20,20,15,20,35,30,20,30,20,25,30,45,20,25,30,35,25,30
315,1.05,30.004,55.007,30.004,25.003,40.005,30.004,20.003,30.004,40.005,45.006,30.004,25.003,20.003,45.006,45.006,35.004,20.003,30.004,50.006,45.006
NaN,NaN,25,20,30,20,25,35,20,30,15,55,35,30,25,40,30,35,30,70,45,25
0,1.05,65,45,65,20,35,30,20,5,25,25,20,45,40,40,30,35,20,35,30,25
NaN,NaN,30,35,40,15,25,25,10,10,15,15,15,35,30,35,25,20,45,35,40,20
45,1.05,44.849,29.899,59.799,74.748,64.782,49.832,54.815,49.832,74.748,64.782,54.815,59.799,54.815,54.815,49.832,79.731,59.799,84.715,39.866,44.849
NaN,NaN,35,50,20,20,40,30,40,20,40,15,25,20,35,10,35,40,35,25,35,20
90,1.05,60,85,65,120,135,100,90,95,95,85,105,100,70,125,70,85,105,95,75,115
NaN,NaN,35,20,30,15,20,25,30,30,15,5,10,15,5,10,15,30,50,20,30,25
135,1.05,100,100,80,95,90,80,60,75,105,65,100,70,70,60,80,85,60,80,65,55
NaN,NaN,50.006,35.004,20.003,10.001,15.002,15.002,45.006,25.003,15.002,40.005,30.004,25.003,30.004,25.003,15.002,5.0006,30.004,50.006,20.003,35.004
180,1.05,80,80,75,55,35,55,25,55,65,75,55,60,60,55,65,75,55,40,50,85
NaN,NaN,20,50,15,25,20,25,10,5,15,10,15,15,10,45,35,25,25,20,0,15
225,1.05,45,30,40,30,40,25,40,25,20,20,5,25,30,20,20,15,25,20,30,40
NaN,NaN,20,15,15,30,45,20,15,10,15,25,15,20,20,10,25,35,35,15,25,25
