135,1,148.84,163.72,153.8,109.15,64.496,14.884,44.651,34.729,49.613,94.264,99.225,104.19,54.574,64.496,44.651,39.69,44.651,19.845,44.651,34.729
NaN,NaN,33.166,13.267,6.6333,13.267,0,0,0,33.166,0,0,19.9,39.8,6.6333,13.267,59.7,19.9,19.9,0,0,0
315,1,89.673,109.6,89.673,54.8,29.891,44.837,44.837,54.8,39.855,34.873,34.873,4.9819,19.927,69.746,39.855,4.9819,0,0,29.891,4.9819
NaN,NaN,32.449,10.816,10.816,28.844,0,21.633,7.211,25.238,0,14.422,21.633,3.6055,18.027,21.633,32.449,7.211,10.816,14.422,3.6055,14.422
112.5,1,139.49,144.47,124.55,69.746,54.8,44.837,59.782,44.837,39.855,44.837,44.837,34.873,49.818,34.873,49.818,34.873,64.764,44.837,49.818,39.855
NaN,NaN,39.8,0,13.267,13.267,0,0,46.433,0,19.9,0,6.6333,26.533,13.267,39.8,19.9,13.267,0,53.066,33.167,39.8
292.5,1,89.673,94.655,79.709,29.891,44.837,29.891,44.837,34.873,24.909,44.837,14.946,49.818,44.837,19.927,44.837,29.891,54.8,19.927,19.927,44.837
NaN,NaN,37.915,21.064,0,0,0,29.489,0,21.064,0,4.2127,16.851,12.638,42.127,16.851,8.4255,21.064,25.276,37.915,16.851,0
0,1,64.764,24.909,14.946,0,0,9.9637,4.9818,19.927,0,4.9818,0,24.909,0,14.946,14.946,0,24.909,0,0,14.946
NaN,NaN,6.6333,39.8,53.066,26.533,6.6333,26.533,0,33.167,0,6.6333,26.533,72.966,6.6333,26.533,13.267,0,33.167,0,0,46.433
180,1,159.42,174.36,119.56,89.673,79.709,89.673,89.673,69.746,89.673,104.62,104.62,104.62,89.673,79.709,79.709,94.655,99.637,134.51,39.855,49.818
NaN,NaN,25.701,0,18.358,18.358,18.358,0,14.687,11.015,18.358,3.6716,7.3433,18.358,18.358,0,18.358,11.015,14.687,11.015,36.716,14.687
67.5,1,99.637,84.692,49.819,59.782,39.855,44.837,24.909,24.909,24.909,34.873,39.855,49.819,24.909,29.891,39.855,44.837,29.891,34.873,34.873,34.873
NaN,NaN,39.8,13.267,39.8,0,6.6333,0,0,0,0,19.9,0,19.9,0,13.267,39.8,19.9,0,0,0,33.166
247.5,1,89.673,134.51,119.56,79.71,89.673,74.728,84.692,49.819,49.819,54.8,39.855,44.837,24.909,49.819,54.8,74.728,79.71,74.728,79.71,64.764
NaN,NaN,29.284,18.302,7.3209,0,0,25.623,0,14.642,7.3209,21.963,0,10.981,7.3209,21.963,43.925,14.642,14.642,10.981,3.6604,7.3209
157.5,1,134.51,144.47,114.58,104.62,74.728,69.746,79.709,54.8,69.746,54.8,49.818,59.782,74.728,59.782,59.782,64.764,79.709,49.818,54.8,59.782
NaN,NaN,39.8,0,39.8,26.533,0,0,0,53.066,0,0,0,26.533,26.533,0,0,13.267,0,0,6.6333,13.267
337.5,1,59.782,54.8,49.818,4.9818,9.9637,14.946,4.9818,9.9637,9.9637,9.9637,24.909,4.9818,44.837,24.909,39.855,0,24.909,0,14.946,19.927
NaN,NaN,7.3209,32.944,0,0,3.6604,25.623,10.981,0,14.642,18.302,43.925,0,18.302,21.963,7.3209,10.981,10.981,21.963,18.302,36.604
22.5,1,64.764,9.9637,0,0,0,29.891,0,0,9.9637,14.946,4.9818,19.927,14.946,19.927,0,14.946,19.927,0,0,4.9818
NaN,NaN,19.9,72.966,53.066,26.533,0,19.9,6.6333,6.6333,26.533,13.267,13.267,13.267,6.6333,33.167,0,19.9,0,0,26.533,0
202.5,1,144.47,164.4,139.49,119.56,104.62,114.58,139.49,89.673,74.728,64.764,59.782,74.728,69.746,69.746,74.728,69.746,89.673,94.655,89.673,84.691
NaN,NaN,34.413,11.471,0,0,15.295,0,15.295,11.471,3.8236,15.295,3.8236,11.471,19.118,0,22.942,11.471,26.766,22.942,11.471,7.6473
90,1,114.58,99.637,69.746,49.819,39.855,29.891,44.837,34.873,34.873,49.819,29.891,34.873,19.927,39.855,39.855,29.891,44.837,44.837,49.819,39.855
NaN,NaN,19.9,13.267,0,0,0,0,13.267,19.9,0,0,19.9,26.533,6.6333,0,13.267,26.533,0,19.9,26.533,13.267
270,1,94.655,114.58,74.728,79.71,54.8,49.819,39.855,59.782,14.946,24.909,44.837,29.891,34.873,49.819,39.855,59.782,44.837,44.837,49.819,49.819
NaN,NaN,28.333,17.708,0,0,14.167,0,0,0,3.5417,3.5417,21.25,14.167,24.792,17.708,21.25,17.708,0,28.333,14.167,21.25
45,1,74.728,34.873,9.9637,14.946,19.927,4.9818,0,9.9637,14.946,9.9637,24.909,19.927,24.909,9.9637,39.855,34.873,19.927,29.891,24.909,34.873
NaN,NaN,13.267,39.8,26.533,19.9,0,13.267,13.267,0,26.533,0,19.9,26.533,19.9,13.267,19.9,6.6333,0,19.9,0,0
225,1,114.58,154.44,119.56,89.673,99.637,89.673,89.673,89.673,84.691,89.673,79.709,79.709,84.691,64.764,89.673,84.691,79.709,84.691,94.655,89.673
