0,2,12.001,8.0008,24.002,8.0008,20.002,24.002,32.003,20.002,12.001,4.0004,20.002,12.001,16.002,20.002,8.0008,8.0008,0,16.002,20.002,12.001
NaN,NaN,28.003,12.001,24.002,24.002,8.0008,36.004,8.0008,0,8.0008,36.004,28.003,8.0008,4.0004,4.0004,16.002,40.004,4.0004,8.0008,16.002,16.002
45,2,20,4,8,8,12,12,20,16,0,32,8,32,12,0,4,24,8,16,24,0
NaN,NaN,8,32,24,16,36,4,0,32,20,4,8,12,16,24,0,32,16,16,0,8
90,2,7.9888,15.978,23.967,15.978,11.983,11.983,0,23.967,31.955,27.961,7.9888,7.9888,11.983,11.983,27.961,15.978,7.9888,27.961,0,23.967
NaN,NaN,12.001,0,36.004,8.0008,4.0004,36.004,8.0008,16.002,36.004,20.002,0,16.002,16.002,4.0004,24.002,8.0008,20.002,16.002,8.0008,12.001
135,2,24,0,28,28,20,4,24,4,24,12,0,16,20,24,16,20,0,16,8,12
NaN,NaN,0,24,12,8,28,16,0,28,0,12,12,16,12,16,4,20,32,4,24,8
180,2,28.003,32.003,36.004,24.002,12.001,24.002,12.001,24.002,16.002,24.002,28.003,8.0008,16.002,8.0008,0,16.002,36.004,20.002,16.002,0
NaN,NaN,20,0,8,16,20,8,8,28,8,16,8,20,4,0,0,20,12,24,20,0
225,2,8,40,40,20,32,16,32,8,0,24,0,20,4,32,28,12,12,24,20,8
NaN,NaN,16,32,0,20,44,8,4,0,28,24,8,24,16,0,40,12,0,20,12,36
270,2,12.001,0,16.002,20.002,20.002,0,48.005,8.0008,4.0004,8.0008,4.0004,12.001,12.001,20.002,8.0008,36.004,4.0004,16.002,16.002,8.0008
NaN,NaN,16,28,16,4,24,8,4,24,20,0,20,32,4,20,0,20,16,12,12,20
315,2,8,16,16,32,32,16,20,24,16,0,28,0,28,8,12,0,0,16,16,24
NaN,NaN,19.972,0,3.9944,31.955,0,35.95,3.9944,0,19.972,0,11.983,11.983,0,15.978,19.972,27.961,15.978,27.961,7.9888,31.955
0,2,7.9896,0,15.979,7.9896,31.959,19.974,11.984,0,7.9896,27.964,0,7.9896,0,19.974,27.964,0,0,0,0,31.959
NaN,NaN,24,28,0,0,4,20,16,44,4,24,0,20,0,40,8,16,24,16,20,8
45,2,8,4,0,28,4,16,20,0,16,12,0,28,8,4,16,0,8,16,28,8
NaN,NaN,28.003,12.001,28.003,12.001,12.001,16.002,8.0008,0,20.002,24.003,8.0008,20.002,4.0004,8.0008,8.0008,24.003,0,12.001,20.002,12.001
90,2,20,20,20,4,0,0,20,8,12,0,8,8,12,8,40,0,12,0,20,24
NaN,NaN,0,40,28,0,4,8,32,0,24,0,16,0,12,0,16,40,4,8,0,16
135,2,0,24,24,20,32,12,0,12,8,8,20,20,36,0,16,24,0,24,0,40
NaN,NaN,0,0,24.002,8.0008,4.0004,32.003,8.0008,8.0008,12.001,4.0004,8.0008,24.002,32.003,0,12.001,0,12.001,0,24.002,24.002
