0,1.05,84.008,80.008,96.009,96.009,60.006,96.009,80.008,84.008,60.006,64.006,80.008,76.007,84.008,68.007,68.007,80.008,88.009,72.007,76.007,48.005
NaN,NaN,12,20,12,8,12,16,32,16,12,16,8,32,32,20,52,24,4,20,20,12
45,1.05,76,80,88,76,68,68,56,36,52,52,48,52,48,56,40,52,56,60,56,68
NaN,NaN,16,20,8,16,8,12,12,12,16,28,16,40,16,20,24,20,20,20,20,24
90,1.05,31.959,47.938,47.938,43.943,39.948,31.959,23.969,27.964,35.953,35.953,27.964,31.959,35.953,31.959,39.948,39.948,47.938,31.959,43.943,19.974
NaN,NaN,16,12,12,16,32,20,20,20,24,24,24,24,24,24,24,20,24,28,24,28
135,1.05,4,4,0,4,4,4,0,8,8,0,4,0,0,24,16,8,4,8,16,8
NaN,NaN,19.701,15.76,31.521,27.581,43.341,27.581,31.521,27.581,35.461,27.581,31.521,27.581,23.641,23.641,19.701,7.8802,35.461,19.701,27.581,19.701
180,1.05,12,12,0,4,8,4,8,8,4,8,4,0,0,12,8,16,4,4,0,8
NaN,NaN,4,24,36,32,52,28,36,36,24,44,24,24,20,24,24,24,28,20,56,52
225,1.05,4.0004,12.001,24.002,20.002,28.003,12.001,28.003,16.002,20.002,16.002,16.002,28.003,12.001,8.0008,24.002,28.003,40.004,24.002,8.0008,16.002
NaN,NaN,16,16,28,24,28,28,40,28,24,32,24,24,24,32,16,24,28,24,24,12
270,1.05,68,60,48,48,40,60,64,56,44,64,48,44,52,28,48,56,40,56,36,36
NaN,NaN,24,12,16,8,24,24,20,24,28,32,24,16,16,12,28,24,24,24,28,20
315,1.05,68,72,92,76,72,68,72,60,40,40,68,52,52,56,56,60,72,64,84,64
NaN,NaN,32.003,20.002,4.0004,8.0008,24.002,24.002,16.002,12.001,20.002,20.002,44.004,16.002,16.002,16.002,24.002,16.002,16.002,16.002,12.001,24.002
0,1.05,48,72,68,60,64,80,44,68,64,44,60,64,56,64,36,56,64,52,52,36
NaN,NaN,7.8794,7.8794,7.8794,11.819,15.759,19.699,11.819,7.8794,7.8794,23.638,11.819,11.819,15.759,11.819,11.819,55.156,11.819,19.699,31.518,19.699
45,1.05,60.006,92.01,68.007,68.007,60.006,48.005,60.006,48.005,40.004,36.004,48.005,36.004,36.004,48.005,44.005,44.005,44.005,48.005,48.005,60.006
NaN,NaN,8,12,16,16,12,16,24,16,12,16,24,36,16,20,20,24,28,24,24,20
90,1.05,28,32,36,44,36,28,24,32,52,44,24,20,28,32,24,32,44,40,32,48
NaN,NaN,16,20,20,20,16,16,20,24,20,24,28,24,20,32,24,32,20,20,24,24
135,1.05,8.0008,4.0004,0,4.0004,4.0004,20.002,12.001,0,0,8.0008,8.0008,0,0,0,4.0004,16.002,12.001,12.001,0,8.0008
NaN,NaN,16,48,32,28,32,32,28,32,28,28,24,32,28,28,32,24,28,24,24,28
180,1.05,16,8,8,8,8,4,0,12,0,4,36,0,0,4,4,12,0,0,12,12
NaN,NaN,32,48,32,32,36,28,28,24,28,28,40,24,28,20,28,28,44,28,16,32
225,1.05,31.564,19.728,23.673,15.782,11.837,19.728,31.564,19.728,11.837,19.728,23.673,15.782,11.837,23.673,27.619,23.673,11.837,23.673,15.782,7.8911
NaN,NaN,28,28,28,28,24,28,32,20,28,52,44,4,8,4,12,4,20,36,28,28
270,1.05,48,60,48,44,44,40,44,44,32,48,48,32,44,44,44,40,44,36,36,40
NaN,NaN,24.002,20.002,16.002,20.002,12.001,24.002,20.002,20.002,16.002,12.001,4.0004,0,16.002,32.003,20.002,24.002,28.003,24.002,24.002,32.003
315,1.05,76,72,88,80,68,60,56,68,56,60,48,72,36,60,44,56,76,60,56,68
NaN,NaN,20,16,24,16,16,12,12,8,8,24,20,24,28,20,20,20,24,20,16,16
0,1.05,56,96,64,64,56,88,44,60,56,56,52,56,48,40,60,60,44,60,48,28
NaN,NaN,16,4,4,8,12,20,28,16,16,20,24,12,20,32,16,16,28,16,24,20
45,1.05,56.005,64.006,84.008,60.006,56.005,60.006,56.005,40.004,40.004,48.005,48.005,40.004,44.004,68.007,28.003,52.005,36.003,48.005,64.006,36.003
NaN,NaN,4,4,8,8,8,12,20,20,20,20,24,12,44,12,16,24,20,28,12,12
90,1.05,28,32,48,24,36,28,40,28,36,40,48,20,36,28,32,40,20,32,36,28
NaN,NaN,24,20,20,20,16,16,20,20,24,24,24,24,24,36,20,24,24,24,28,24
135,1.05,8.0008,0,4.0004,8.0008,12.001,4.0004,8.0008,8.0008,4.0004,0,0,0,0,8.0008,12.001,8.0008,4.0004,8.0008,16.002,8.0008
NaN,NaN,8,16,20,32,32,28,36,28,32,28,32,32,28,36,28,28,28,28,24,28
180,1.05,16,0,4,8,8,8,4,16,32,4,4,0,4,16,8,4,20,8,8,20
NaN,NaN,28,16,40,36,32,24,28,32,28,28,20,28,28,24,28,28,24,28,28,28
225,1.05,28.003,16.002,12.001,8.0008,20.002,12.001,0,32.003,28.003,16.002,12.001,8.0008,8.0008,36.004,24.002,28.003,20.002,16.002,20.002,16.002
NaN,NaN,24,32,28,28,32,32,28,28,28,24,48,20,28,20,12,8,12,24,28,24
270,1.05,68,72,40,36,40,24,56,64,36,60,52,40,32,44,52,40,40,56,36,36
NaN,NaN,16,16,12,12,16,4,4,28,24,24,24,24,24,24,20,28,24,28,28,24
315,1.05,56.006,64.007,84.009,64.007,64.007,64.007,40.004,64.007,68.007,64.007,48.005,56.006,52.005,44.005,52.005,68.007,52.005,80.008,60.006,60.006
NaN,NaN,24,16,28,20,16,20,12,12,20,24,12,32,24,20,24,32,16,16,24,24
0,1.05,40,60,64,68,56,52,44,64,64,52,36,52,60,52,60,48,68,64,48,40
NaN,NaN,12,0,0,12,16,16,32,16,16,12,16,20,20,12,16,12,20,20,32,20
45,1.05,56.005,68.007,56.005,56.005,64.006,52.005,36.003,36.003,52.005,32.003,52.005,32.003,36.003,40.004,40.004,36.003,40.004,36.003,56.005,44.004
NaN,NaN,12,12,8,12,8,24,8,28,36,0,12,12,4,8,20,24,12,20,16,24
90,1.05,44,20,32,40,24,28,20,24,36,48,24,44,28,40,32,32,16,24,36,32
NaN,NaN,12,20,28,20,24,16,20,20,20,24,16,20,24,24,20,24,36,24,24,28
135,1.05,12.001,4.0004,0,4.0004,4.0004,4.0004,0,8.0008,0,28.003,20.002,8.0008,8.0008,8.0008,4.0004,0,4.0004,8.0008,4.0004,8.0008
NaN,NaN,12,40,28,32,32,28,24,32,24,32,20,24,16,20,12,8,16,16,40,20
180,1.05,12,4,4,8,0,28,4,8,4,12,12,4,12,8,8,4,4,4,0,20
NaN,NaN,20,28,28,32,24,24,32,32,28,24,24,24,24,28,28,48,24,24,24,28
225,1.05,40.004,28.003,20.002,12.001,20.002,20.002,8.0008,24.002,36.004,8.0008,20.002,20.002,24.002,16.002,16.002,20.002,48.005,32.003,36.004,12.001
NaN,NaN,20,24,28,24,24,24,20,16,12,12,12,16,16,8,8,36,24,28,24,40
270,1.05,52,56,60,48,52,28,48,36,36,40,68,52,36,20,40,36,40,28,28,32
NaN,NaN,20,16,20,24,20,20,24,28,20,24,24,20,12,8,8,28,24,32,24,24
315,1.05,56.006,56.006,72.007,64.006,56.006,64.006,52.005,48.005,48.005,68.007,44.004,52.005,40.004,52.005,36.004,72.007,84.008,52.005,48.005,48.005
NaN,NaN,32,12,16,12,8,32,16,16,12,12,28,24,20,16,20,20,20,12,12,8
