SF,TF,Log2SF,Log2TF,Response,R_Norm,G_result_Un,G_result_Sp,G_result_Ind,G_Norm_Un,G_Norm_Sp,G_Norm_Ind,Error_Un,Error_Sp,Error_Ind
0.0155,0.032,-6.011587974,-4.965784285,0.372703775,0.032615415,6.23839E-10,1.11789E-07,1.6758E-07,5.70112E-11,1.25561E-08,1.52213E-08,0.001063765,0.001063764,0.001063764
0.0155,0.125,-6.011587974,-3,0.248757704,0.021768859,0.000801877,0.012781407,0.002371869,7.32816E-05,0.001435609,0.000215437,0.000470698,0.000413441,0.00046455
0.0155,0.5,-6.011587974,-1,2.605898131,0.228042899,1.854055777,2.329495199,0.83206647,0.169437686,0.261649204,0.075576622,0.003434571,0.001129384,0.023245966
0.0155,2,-6.011587974,1,6.080462613,0.532103041,5.704076964,0.52180842,5.925138922,0.521281836,0.05860959,0.538180543,0.000117098,0.224196048,3.6936E-05
0.0155,8,-6.011587974,3,2.360777159,0.206592292,0.023350466,0.000143657,0.856470212,0.002133943,1.61356E-05,0.077793215,0.041803216,0.042673708,0.016589202
0.0155,16,-6.011587974,4,1.242573516,0.108737968,0.000124701,1.93117E-07,0.075512975,1.13961E-05,2.1691E-08,0.006858846,0.011821467,0.011823941,0.010379355
0.032,0.032,-4.965784285,-4.965784285,0.745401209,0.065230275,7.055E-12,5.50619E-11,3.11383E-07,6.4474E-13,6.18457E-12,2.82829E-08,0.004254989,0.004254989,0.004254985
0.032,0.125,-4.965784285,-3,0.745621026,0.065249511,4.92238E-05,0.000197182,0.0044072,4.49845E-06,2.21475E-05,0.000400306,0.004256912,0.004254609,0.004205419
0.032,0.5,-4.965784285,-1,2.111027084,0.18473659,0.636238954,1.19514853,1.546073119,0.058144344,0.134239239,0.140429867,0.016025597,0.002549983,0.001963086
0.032,2,-4.965784285,1,11.42722771,1,10.94240499,8.903123573,11.00957477,1,1,1,0,0,0
0.032,8,-4.965784285,3,1.985175773,0.173723306,0.250410711,0.081513402,1.591418016,0.022884431,0.009155596,0.144548545,0.022752366,0.027082531,0.000851167
0.032,16,-4.965784285,4,1.117636285,0.097804674,0.003161847,0.000631916,0.140311603,0.000288954,7.09769E-05,0.012744507,0.009509316,0.009551876,0.007235232
0.061,0.032,-4.035046947,-4.965784285,0.99487049,0.087061404,6.72765E-14,4.38561E-15,2.84577E-07,6.14824E-15,4.92592E-16,2.58482E-08,0.007579688,0.007579688,0.007579684
0.061,0.125,-4.035046947,-3,1.117024921,0.097751174,2.11521E-06,3.36744E-07,0.004027801,1.93304E-07,3.78231E-08,0.000365845,0.009555254,0.009555285,0.009483902
0.061,0.5,-4.035046947,-1,2.609718956,0.22837726,0.126471275,0.046161349,1.412977623,0.011557905,0.005184849,0.128340799,0.047010633,0.049814853,0.010007294
0.061,2,-4.035046947,1,9.934194974,0.869344274,10.06183297,7.777208849,10.06180277,0.919526647,0.873537111,0.913913842,0.002518271,1.75799E-05,0.001986446
0.061,8,-4.035046947,3,1.491853255,0.13055251,1.065147864,1.610405074,1.454418953,0.097341294,0.180880908,0.132104916,0.001102985,0.002532948,2.40997E-06
0.061,16,-4.035046947,4,1.985361774,0.173739583,0.028926384,0.059371511,0.128232716,0.002643512,0.006668616,0.011647381,0.029273865,0.027912708,0.026273882
0.125,0.032,-3,-4.965784285,1.118021665,0.097838399,1.82802E-16,6.39997E-21,1.26657E-07,1.67058E-17,7.18846E-22,1.15043E-08,0.009572352,0.009572352,0.00957235
0.125,0.125,-3,-3,0.869598759,0.076098839,3.06591E-08,1.48558E-11,0.001792657,2.80186E-09,1.66861E-12,0.000162827,0.005791033,0.005791033,0.005766278
0.125,0.5,-3,-1,1.11869001,0.097896886,0.010067894,6.53272E-05,0.628875094,0.000920081,7.33756E-06,0.057120743,0.009404501,0.009582364,0.001662694
0.125,2,-3,1,5.089277563,0.445364151,4.399121972,0.353067154,4.478214702,0.402025147,0.039656549,0.406756373,0.001878269,0.164598658,0.00149056
0.125,8,-3,3,3.601756547,0.315190757,2.557649126,2.345235974,0.647319421,0.233737385,0.26341721,0.058796042,0.006634652,0.0026805,0.06573825
0.125,16,-3,4,1.116756568,0.09772769,0.162778219,0.48970941,0.057072639,0.014875909,0.055004225,0.005183909,0.006864418,0.001825294,0.008564351
0.25,0.032,-2,-4.965784285,1.614634886,0.141297166,2.91159E-19,7.76303E-28,2.84979E-08,2.66084E-20,8.71945E-29,2.58846E-09,0.019964889,0.019964889,0.019964888
0.25,0.125,-2,-3,1.117549068,0.097797042,2.46136E-10,4.85369E-17,0.000403348,2.24938E-11,5.45167E-18,3.66361E-05,0.009564261,0.009564261,0.009557097
0.25,0.5,-2,-1,0.870308137,0.076160917,0.000419035,6.08816E-09,0.14149704,3.82946E-05,6.83823E-10,0.01285218,0.005794654,0.005800485,0.004007996
