SF,TF,RESP,SFFIT ,TFFIT,FIT
-6,-5,3.481091676,-6,-5,9.94E-11
-6,-3,2.486834848,-6,-3,3.79E-07
-6,-1,6.805485377,-6,-1,3.70727E-05
-6,1,3.4765815,-6,1,7.79619E-05
-6,3,2.979609565,-6,3,3.53E-06
-6,4,3.479293198,-6,4,1.78E-07
-5,-5,3.475583148,-5,-5,7.09E-08
-5,-3,2.483425495,-5,-3,1.73E-04
-5,-1,2.609863809,-5,-1,0.010713713
-5,1,3.976191788,-5,1,0.014285298
-5,3,1.739590727,-5,3,0.000409572
-5,4,3.845404556,-5,4,1.64E-05
-4,-5,3.356239238,-4,-5,6.29E-06
-4,-3,3.102284232,-4,-3,1.03E-02
-4,-1,5.720886869,-4,-1,0.425601998
-4,1,2.236555698,-4,1,0.378307896
-4,3,3.979220685,-4,3,0.007230668
-4,4,3.60038754,-4,4,0.00023688
-3,-5,2.110972159,-3,-5,2.05E-04
-3,-3,2.732138581,-3,-3,2.15E-01
-3,-1,7.699270892,-3,-1,5.669622985
-3,1,7.712253222,-3,1,3.210344637
-3,3,3.601156328,-3,3,0.039087727
-3,4,2.23333441,-3,4,0.001022043
-2,-5,3.969121311,-2,-5,1.32E-03
-2,-3,4.63669698,-2,-3,9.01E-01
-2,-1,17.26251278,-2,-1,1.54E+01
-2,1,6.949767633,-2,1,5.62302555
-2,3,2.111113938,-2,3,0.044283902
-2,4,3.231240191,-2,4,0.000931254
-1,-5,2.360498851,-1,-5,1.93E-03
-1,-3,3.84976274,-1,-3,8.59E-01
-1,-1,12.03705642,-1,-1,9.47E+00
-1,1,6.827659286,-1,1,2.242885414
-1,3,3.473512365,-1,3,0.011425362
-1,4,3.227390152,-1,4,0.000193235
0,-5,3.9687586,0,-5,6.42E-04
0,-3,2.982641014,0,-3,1.87E-01
0,-1,2.977144415,0,-1,1.33E+00
0,1,4.225837669,0,1,0.203733641
0,3,3.230534307,0,3,0.000671294
0,4,3.599438161,0,4,9.13107E-06
