SF,TF,RESP,SFFIT ,TFFIT,FIT
-5,-5,2.291666667,-5,-5,1.074353985
-5,-3,9.291666667,-5,-3,5.913531645
-5,-1,19.16666667,-5,-1,17.72912923
-5,1,33.04166667,-5,1,27.95044729
-5,3,30.79166667,-5,3,23.17133172
-5,4,25.41666667,-5,4,16.5788705
-4,-5,17.79166667,-4,-5,1.840860396
-4,-3,12.91666667,-4,-3,9.642315774
-4,-1,24.54166667,-4,-1,27.48576947
-4,1,36.91666667,-4,1,41.19982063
-4,3,38.04166667,-4,3,32.47458626
-4,4,24.66666667,-4,4,22.65638447
-3,-5,11.91666667,-3,-5,2.594754161
-3,-3,24.29166667,-3,-3,12.86185946
-3,-1,35.04166667,-3,-1,34.66254449
-3,1,49.29166667,-3,1,49.12222119
-3,3,41.04166667,-3,3,36.60635007
-3,4,15.54166667,-3,4,24.8323873
-2,-5,9.291666667,-2,-5,2.799593751
-2,-3,23.66666667,-2,-3,13.15711461
-2,-1,36.41666667,-2,-1,33.58711017
-2,1,48.79166667,-2,1,45.08639335
-2,3,33.66666667,-2,3,31.82579261
-2,4,19.41666667,-2,4,21.01207408
-1,-5,4.416666667,-1,-5,2.349508834
-1,-3,12.54166667,-1,-3,10.46889454
-1,-1,31.79166667,-1,-1,25.31442728
-1,1,38.41666667,-1,1,32.18816832
-1,3,32.29166667,-1,3,21.52213231
-1,4,17.41666667,-1,4,13.82937783
0,-5,1.041666667,0,-5,1.533707064
0,-3,0.791666667,0,-3,6.479242882
0,-1,10.29166667,0,-1,14.84044222
0,1,17.41666667,0,1,17.87435176
0,3,18.79166667,0,3,11.32073526
0,4,9.916666667,0,4,7.079777835
