SF,TF,RESP,SFFIT ,TFFIT,FIT
-4.965784285,-4.965784285,10.09259259,-4.965784285,-4.965784285,5.699947021
-4.965784285,-3,27.17592593,-4.965784285,-3,5.474109301
-4.965784285,-1,27.09259259,-4.965784285,-1,2.837214054
-4.965784285,1,14.42592593,-4.965784285,1,0.789957829
-4.965784285,3,10.75925926,-4.965784285,3,0.118154123
-4.965784285,4,15.00925926,-4.965784285,4,0.036196894
-4.035046947,-4.965784285,15.75925926,-4.035046947,-4.965784285,12.06420679
-4.035046947,-3,26.25925926,-4.035046947,-3,13.29841537
-4.035046947,-1,22.59259259,-4.035046947,-1,7.930103976
-4.035046947,1,13.25925926,-4.035046947,1,2.540335263
-4.035046947,3,5.592592593,-4.035046947,3,0.437155916
-4.035046947,4,14.92592593,-4.035046947,4,0.143651101
-3,-4.965784285,24.25925926,-3,-4.965784285,21.8994929
-3,-3,37.92592593,-3,-3,28.13857597
-3,-1,27.25925926,-3,-1,19.61131329
-3,1,12.17592593,-3,1,7.342507652
-3,3,7.592592593,-3,3,1.476778311
-3,4,12.00925926,-3,4,0.524627065
-2,-4.965784285,41.17592593,-2,-4.965784285,30.71826077
-2,-3,53.17592593,-2,-3,45.7696553
-2,-1,47.59259259,-2,-1,37.08639115
-2,1,11.42592593,-2,1,16.14301591
-2,3,8.842592593,-2,3,3.774747816
-2,4,18.59259259,-2,4,1.445904183
-1,-4.965784285,41.84259259,-1,-4.965784285,34.11390576
-1,-3,55.75925926,-1,-3,58.94207581
-1,-1,60.75925926,-1,-1,55.52578787
-1,1,35.59259259,-1,1,28.09940992
-1,3,10.25925926,-1,3,7.638935408
-1,4,9.259259259,-1,4,3.155008942
0,-4.965784285,44.75925926,0,-4.965784285,29.99428586
0,-3,62.75925926,0,-3,60.09598666
0,-1,68.42592593,0,-1,65.81837305
0,1,53.92592593,0,1,38.72415799
0,3,28.09259259,0,3,12.23911432
0,4,14.59259259,0,4,5.450469742
