SF,TF,RESP,SFFIT ,TFFIT,FIT,,,
-5,-5,-0.00816173,-5,-5,0.56182632,,18.64183827,-0.00816173
-5,-3,-0.1521839,-5,-3,3.761852846,,18.4978161,-0.1521839
-5,-1,11.64403667,-5,-1,10.09869387,,30.29403667,11.64403667
-5,1,6.30877154,-5,1,10.42965776,,24.95877154,6.30877154
-5,3,3.33651036,-5,3,4.143967631,,21.98651036,3.33651036
-5,4,-0.1644252,-5,4,1.8256501,,18.4855748,-0.1644252
-4,-5,-2.6256223,-4,-5,1.183322823,,16.0243777,-2.6256223
-4,-3,8.02475418,-4,-3,8.29785808,,26.67475418,8.02475418
-4,-1,16.49686926,-4,-1,23.34756839,,35.14686926,16.49686926
-4,1,16.64455626,-4,1,25.27311398,,35.29455626,16.64455626
-4,3,6.66700664,-4,3,10.52488361,,25.31700664,6.66700664
-4,4,5.33531786,-4,4,4.747058868,,23.98531786,5.33531786
-3,-5,0.85454044,-3,-5,1.84133048,,19.50454044,0.85454044
-3,-3,6.70576862,-3,-3,13.59270992,,25.35576862,6.70576862
-3,-1,34.28997998,-3,-1,40.29782377,,52.93997998,34.28997998
-3,1,36.33599652,-3,1,45.96196464,,54.98599652,36.33599652
-3,3,11.86602036,-3,3,20.16773015,,30.51602036,11.86602036
-3,4,5.8419096,-3,4,9.337148858,,24.4919096,5.8419096
-2,-5,-0.49537142,-2,-5,1.918225653,,18.15462858,-0.49537142
-2,-3,3.84517881,-2,-3,14.88092992,,22.49517881,3.84517881
-2,-1,32.51471757,-2,-1,46.40201962,,51.16471757,32.51471757
-2,1,35.98505984,-2,1,55.66537532,,54.63505984,35.98505984
-2,3,13.51551136,-2,3,25.69063543,,32.16551136,13.51551136
-2,4,14.41560785,-2,4,12.19825592,,33.06560785,14.41560785
-1,-5,-0.64404653,-1,-5,1.367093803,,18.00595347,-0.64404653
-1,-3,1.83249625,-1,-3,11.14512033,,20.48249625,1.83249625
-1,-1,39.01172263,-1,-1,36.55298438,,57.66172263,39.01172263
-1,1,39.63550965,-1,1,46.12138775,,58.28550965,39.63550965
-1,3,29.52862343,-1,3,22.38841446,,48.17862343,29.52862343
-1,4,7.93170418,-1,4,10.9021428,,26.58170418,7.93170418
0,-5,0.35032763,0,-5,0.666542126,,19.00032763,0.35032763
0,-3,1.70380814,0,-3,5.710447187,,20.35380814,1.70380814
0,-1,16.11330352,0,-1,19.69878616,,34.76330352,16.11330352
0,1,9.56637989,0,1,26.14268913,,28.21637989,9.56637989
0,3,2.19720051,0,3,13.34757893,,20.84720051,2.19720051
0,4,1.72744897,0,4,6.665867235,,20.37744897,1.72744897
