SF,TF,RESP,SFFIT ,TFFIT,FIT,,,,
-4.965784285,-4.965784285,6.57773432,-4.965784285,-4.965784285,1.422996317,,,1.422996317,
-4.965784285,-3,15.79755746,-4.965784285,-3,19.6719991,,,19.6719991,
-4.965784285,-1,45.97179927,-4.965784285,-1,45.8968764,,,45.8968764,
-4.965784285,1,9.08173096,-4.965784285,1,16.99479816,,,16.99479816,
-4.965784285,3,0.62570432,-4.965784285,3,0.998727802,,,0.998727802,
-4.965784285,4,0.51040123,-4.965784285,4,0.121405132,,,0.121405132,
-4.035046947,-4.965784285,13.42279119,-4.035046947,-4.965784285,1.186655493,,,1.186655493,
-4.035046947,-3,13.07827343,-4.035046947,-3,17.25817318,,,17.25817318,
-4.035046947,-1,42.73931138,-4.035046947,-1,42.39730702,,,42.39730702,
-4.035046947,1,20.15552984,-4.035046947,1,16.53027083,,,16.53027083,
-4.035046947,3,0,-4.035046947,3,1.022868757,,,1.022868757,
-4.035046947,4,0.00838103,-4.035046947,4,0.127589292,,,0.127589292,
-3,-4.965784285,6.23803316,-3,-4.965784285,0.807262041,,0.799854933,0.81466915,0.807262041
-3,-3,13.26877145,-3,-3,10.61075263,,8.685899519,12.53560575,10.61075263
-3,-1,26.44182549,-3,-1,23.23087638,,13.84738295,32.61436981,23.23087638
-3,1,14.29915259,-3,1,8.262004463,,3.05700753,13.4670014,8.262004463
-3,3,3.26403826,-3,3,0.487993972,,0.093454715,0.882533229,0.487993972
-3,4,0.14666334,-3,4,0.060536804,,0.007785196,0.113288412,0.060536804
-2,-4.965784285,2.76479505,-2,-4.965784285,0.959845756,,1.443774814,0.475916697,0.959845756
-2,-3,15.18886736,-2,-3,13.60017855,,19.46715228,7.733204811,13.60017855
-2,-1,20.85753961,-2,-1,29.97353212,,38.68038941,21.26667484,29.97353212
-2,1,12.07543341,-2,1,9.962351862,,10.64278168,9.281922049,9.962351862
-2,3,3.73089312,-2,3,0.524225101,,0.405504215,0.642945987,0.524225101
-2,4,6.83237541,-2,4,0.061282574,,0.037712163,0.084852984,0.061282574
-1,-4.965784285,5.36360549,-1,-4.965784285,1.340560804,,1.340560804,,
-1,-3,27.95591862,-1,-3,22.44341152,,22.44341152,,
-1,-1,55.69237044,-1,-1,55.57926432,,55.57926432,,
-1,1,16.97215091,-1,1,19.05954897,,19.05954897,,
-1,3,9.46100639,-1,3,0.905082877,,0.905082877,,
-1,4,4.96336189,-1,4,0.093970638,,0.093970638,,
0,-4.965784285,5.2702942,0,-4.965784285,0.640283623,,0.640283623,,
0,-3,3.25360162,0,-3,13.30988002,,13.30988002,,
0,-1,39.62605985,0,-1,41.08029669,,41.08029669,,
0,1,14.17860556,0,1,17.55775184,,17.55775184,,
0,3,2.3904244,0,3,1.039154555,,1.039154555,,
0,4,2.76861439,0,4,0.120448592,,0.120448592,,
