name,min_sf,max_sf,min_tf,max_tf,status,page
CALSTC01-LM-01-2918-cell1,-5,0,-5,4,good,1
CALSTC01-LM-01-2964-cell1,-5,0,-5,4,good,2
CALSTC01-LM-01-2964-cell2,-5,0,-5,4,good,3
CALSTC01-LM-03-3009-cell1,-5,0,-5,4,jazzy,4
CALSTC01-LM-03-3009-cell2,-5,0,-5,4,good,5
CALSTC01-LM-05-3226-cell1,-5,0,-5,4,good,6
CALSTC01-LM-06-3176-cell2,-5,0,-5,4,good,7
CALSTC04-LM-01-3040-cell2,-6,0,-5,4,good,8
CALSTC04-LM-01-3289-cell1,-6,-3,-5,4,constrain_me,9
CALSTC04-LM-01-3289-cell2,-6,0,-5,4,good,10
CALSTC04-LM-01-3523-cell1,-6,0,-5,4,good,11
CALSTC04-LM-01-3523-cell2,-6,0,-5,4,good,12
CALSTC05-LM-01-3865-cell1,-6,0,-5,4,jazzy,13
CALSTC05-LM-03-3860-cell1,-6,0,-5,4,jazzy,14
CALSTC05-LM-03-3860-cell2,-6,0,-5,4,jazzy,15
CALSTC06-LM-02-3472-cell1,-5,0,-3,4,constrain_me,16
CALSTC07-LM-04-3755-cell1,-6,0,-2.5,4,constrain_me,17
CALSTC07-LM-04-3755-cell2,-6,0,-5,4,jazzy,18
CALSTC07-LM-05-3547-cell1,-6,0,-5,4,good,19
CALSTC07-LM-05-3547-cell2,-6,0,-5,4,good,20
CALSTC07-LM-05-3606-cell2,-6,0,-2.5,4,constrain_me,21
CALSTC07-LM-05-3606-cell3,-6,0,-5,4,jazzy,22
CALSTC07-LM-05-3657-cell1,-6,-1,-2.5,4,constrain_me,23
CALSTC07-LM-05-3657-cell2,-6,0,-5,4,jazzy,24
CALSTC07-LM-07-3501-cell1,-6,-3,-4,4,constrain_me,25
CALSTC07-LM-07-3588-cell1,-6,0,-5,4,good,26
CALSTC07-LM-09-3210-cell1,-6,0,-5,4,good,27
CALSTC08-LM-01-3183-cell1,-6,0,-5,4,jazzy,28
CALSTC08-LM-01-3183-cell2,-6,0,-5,4,jazzy,29
CALSTC08-LM-03-3070-cell1,-6,0,-5,4,jazzy,30
CALSTC08-LM-03-3070-cell2,-6,0,-2,4,constrain_me,31
CALSTC08-LM-03-3070-cell3,-6,0,-5,4,jazzy,32
CALSTC08-LM-03-3147-cell1,-6,0,-5,4,jazzy,33
CALSTC08-LM-03-3147-cell2,-6,0,-5,4,good,34
CALSTC08-LM-03-3147-cell3,-6,0,-5,4,good,35
CALSTC08-LM-03-3203-cell1,-6,0,-5,4,good,36
CALSTC08-LM-03-3203-cell2,-6,0,-5,4,jazzy,37
CALSTC08-LM-03-3575-cell1,-6,0,-5,4,good,38
CALSTC08-LM-03-3575-cell2,-6,0,-5,4,good,39
CALSTC08-LM-03-3622-cell1,-6,0,-5,4,good,40
CALSTC08-LM-03-3681-cell1,-6,0,-5,4,good,41
CALSTC08-LM-03-3681-cell2,-6,0,-5,4,good,42
CALSTC08-LM-03-3739-cell1,-6,0,-5,4,good,43
CALSTC08-LM-04-3345-cell2,-4.5,0,-3,4,constrain_me,44
CALSTC08-LM-04-3411-cell1,-6,0,-5,4,good,45
CALSTC08-LM-04-3411-cell2,-6,-1,-3,4,constrain_me,46
CALSTC08-LM-04-3482-cell1,-6,0,-5,4,good,47
CALSTC08-LM-04-3482-cell2,-6,0,-3,4,constrain_me,48
CALSTC08-LM-04-3551-cell1,-6,0,-5,4,good,49
CALSTC09-LM-02-2941-cell1,-6,0,-5,4,good,50
CALSTC09-LM-02-2941-cell2,-4,0,-1,4,constrain_me,51
CALSTC09-LM-02-3001-cell1,-6,0,-5,4,jazzy,52
CALSTC09-LM-02-3001-cell2,-6,0,-5,4,jazzy,53
CALSTC09-LM-03-3163-cell1,-6,0,-2,4,constrain_me,54
CALSTC09-LM-03-3163-cell2,-6,0,-5,4,jazzy,55
CALSTC09-LM-03-3220-cell1,-6,0,-5,4,good,56
CALSTC09-LM-03-3220-cell2,-6,0,-5,4,jazzy,57
CALSTC09-LM-03-3285-cell1,-6,0,-5,4,good,58
CALSTC09-LM-03-3285-cell2,-6,0,-5,4,jazzy,59
CALSTC09-LM-03-3530-cell1,-6,0,-5,4,jazzy,60
CALSTC09-LM-03-3530-cell2,-6,0,-5,1,constrain_me,61
CALSTC09-LM-03-3530-cell3,-6,0,-5,4,good,62
CALSTC09-LM-03-3594-cell1,-5,0,-5,4,constrain_me,63
CALSTC09-LM-03-3668-cell1,-5,0,-5,4,constrain_me,64
CALSTC09-LM-03-3668-cell2,-6,0,-5,4,good,65
CALSTC09-LM-03-3731-cell1,-6,0,-5,4,good,66
CALSTC09-LM-03-3731-cell2,-6,0,-5,4,jazzy,67
CALSTC09-LM-03-3800-cell2,-6,0,-5,4,good,68
CALSTC09-LM-03-3800-cell4,-6,0,-5,4,good,69
CALSTC09-LM-04-3463-cell1,-6,0,-5,4,jazzy,70
CALSTC09-LM-04-3595-cell1,-6,0,-5,4,jazzy,71
CALSTC09-LM-04-3595-cell4,-6,0,-5,4,jazzy,72
STC01-LM-01-5466-cell1,-5,0,-5,4,good,73
STC01-LM-01-5466-cell2,-5,0,-5,4,good,74
STC01-LM-01-5531-cell1,-5,0,-5,4,good,75
STC01-LM-02-5254-cell1,-5,0,-5,4,good,76
STC01-LM-06-5286-cell1,-5,0,-5,4,good,77
STC01-LM-07-5424-cell1,-5,0,-5,4,good,78
STC01-LM-10-5435-cell1,-5,0,-5,4,good,79
STC02-LM-01-5324-cell1,-5,0,-5,4,good,80
STC02-LM-01-5385-cell1,-5,0,-5,4,good,81
STC02-LM-01-5450-cell1,-5,0,-5,4,good,82
STC02-LM-01-5450-cell2,-5,0,-5,4,good,83
STC02-LM-01-5525-cell1,-5,0,-5,4,good,84
STC02-LM-01-5525-cell2,-5,0,-5,4,good,85
STC02-LM-02-5253-cell1,-5,0,-5,4,good,86
STC02-LM-02-5253-cell2,-5,0,-5,4,good,87
STC02-LM-02-5304-cell2,-5,0,-5,4,good,88
STC02-LM-02-5375-cell1,-5,0,-5,4,good,89
STC02-LM-02-5447-cell1,-5,0,-5,4,good,90
STC02-LM-03-5423-cell1,-5,0,-5,4,good,91
STC02-LM-03-5498-cell1,-5,0,-5,4,good,92
STC02-LM-05-5160-cell1,-5,0,-5,4,good,93
STC02-LM-05-5517-cell1,-5,0,-5,4,good,94
STC03-LM-03-5176-cell1,-3,0,-5,4,constrain_me,95
STC03-LM-03-5249-cell1,-5,0,-5,4,good,96
STC03-LM-03-5249-cell2,-4,0,-5,4,constrain_me,97
STC03-LM-03-5330-cell1,-5,0,-5,4,good,98
STC03-LM-03-5483-cell1,-5,0,-5,4,good,99
STC03-LM-03-5590-cell1,-5,0,-5,4,good,100
STC04-LM-01-5098-cell1,-5,0,-2.5,4,constrain_me,101
STC04-LM-01-5225-cell2,-5,0,-5,4,good,102
STC04-LM-02-5259-cell1,-5,0,-5,4,good,103
STC05-LM-01-5409-cell1,-5,-2,-5,4,constrain_me,104
STC05-LM-01-5474-cell1,-5,0,-5,4,good,105
STC05-LM-02-5612-cell1,-5,0,-5,4,good,106
STC05-LM-05-5696-cell1,-5,0,-5,4,good,107
STC05-LM-09-5640-cell1,-5,0,-5,4,good,108
STC06-LM-04-5545-cell1,-5,0,-5,4,good,109
STC06-LM-04-5545-cell2,-5,0,-5,4,good,110
STC06-LM-04-5602-cell1,-5,0,-5,4,good,111
STC06-LM-04-5602-cell2,-5,0,-5,4,good,112
STC06-LM-06-5764-cell1,-5,0,-5,4,good,113
STC06-LM-06-5914-cell1,-5,0,-5,4,good,114
STC06-LM-07-5630-cell1,-5,0,-5,4,good,115
STC06-LM-08-5922-cell1,-5,0,-5,4,good,116
STC06-LM-08-5922-cell2,-5,0,-5,4,good,117
STC06-LM-11-5169-cell1,-5,0,-5,4,good,118
STC07-LM-01-5637-cell1,-5,0,-4,4,constrain_me,119
STC07-LM-05-5756-cell1,-5,0,-5,4,good,120
STC07-LM-06-5901-cell1,-5,0,-5,4,good,121
STC07-LM-11-5904-cell1,-5,0,-5,4,good,122
STC07-LM-13-5909-cell1,-5,0,-5,4,good,123
STC08-LM-04-5655-cell1,-5,0,-2.5,4,constrain_me,124
STC08-LM-04-5709-cell1,-5,0,-5,4,good,125
STC08-LM-04-5709-cell2,-5,0,-5,4,good,126
STC08-LM-05-5655-cell1,-5,0,-5,4,good,127
STC08-LM-05-5655-cell2,-5,0,-5,4,good,128
STC08-LM-05-5707-cell1,-5,0,-5,4,good,129
STC08-LM-05-5775-cell1,-5,0,-3,4,constrain_me,130
STC08-LM-09-5571-cell1,-5,0,-5,4,good,131
STC08-LM-09-5629-cell1,-5,0,-5,4,good,132
STC08-LM-15-5514-cell1,-5,1,-3,4,constrain_me,133
STC09-LM-08-5154-cell1,-5,0,-5,4,good,134
STC09-LM-08-5154-cell2,-5,0,-5,4,good,135
STC09-LM-08-5217-cell1,-5,0,-3,4,constrain_me,136
STC09-LM-08-5217-cell2,-5,0,-5,4,good,137
STC09-LM-08-5289-cell1,-5,0,-5,4,good,138
STC09-LM-08-5289-cell2,-5,0,-5,4,good,139
STC09-LM-08-5371-cell2,-5,0,-5,4,good,140
STC09-LM-08-5478-cell1,-5,0,-5,4,good,141
STC09-LM-09-5004-cell1,-5,0,-1,4,constrain_me,142
