direction,SF,TF,logSF,logTF,cell1,cell2,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm
135,0.015754716981132073,0.031,-5.988072351863872,-5.011587974275212,22.12,28.321,19.096,3.024000000000001,0.06461262339216275,16.918,11.403000000000002,0.4201857174441743
135,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,16.129,20.105,19.096,-2.9669999999999987,-0.06339472672108028,16.918,3.187000000000001,0.11743680448080188
135,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,18.015,13.171,19.096,-1.0809999999999995,-0.023097303534037,16.918,-3.747,-0.13807207605571523
135,0.125,0.031,-3,-5.011587974275212,19.764,16.656,19.096,0.6679999999999993,0.01427289432075551,16.918,-0.26200000000000045,-0.009654359201120217
135,0.25,0.031,-2,-5.011587974275212,26.744,20.68,19.096,7.648,0.163411820007692,16.918,3.7620000000000005,0.13862480654432902
135,0.5,0.031,-1,-5.011587974275212,20.83,16.24,19.096,1.7339999999999982,0.037049698730823435,16.918,-0.6780000000000008,-0.02498341808534162
135,1,0.031,0,-5.011587974275212,23.52,19.073,19.096,4.4239999999999995,0.09452587496260843,16.918,2.155000000000001,0.07940894686417574
135,0.015754716981132073,0.125,-5.988072351863872,-3,18.151,21.013,19.096,-0.9450000000000003,-0.020191444810050863,16.918,4.095000000000002,0.15089542339155437
135,0.03150943396226415,0.125,-4.988072351863872,-3,22.737,31.685,19.096,3.6409999999999982,0.07779582069142342,16.918,14.767,0.5441447416906183
135,0.06297169811320755,0.125,-3.9891526177630077,-3,24.209,16.139,19.096,5.1129999999999995,0.10924746805692065,16.918,-0.7789999999999999,-0.02870513670867418
135,0.125,0.125,-3,-3,17.761,16.892,19.096,-1.3350000000000009,-0.028524422033246465,16.918,-0.0259999999999998,-9.580661802638294e-4
135,0.25,0.125,-2,-3,21.03,17.563,19.096,1.934000000000001,0.041323020383744316,16.918,0.6449999999999996,0.02376741101039132
135,0.5,0.125,-1,-3,26.485,19.802,19.096,7.388999999999999,0.15787786846715954,16.918,2.8840000000000003,0.10627164861080406
135,1,0.125,0,-3,20.169,19.425,19.096,1.0730000000000004,0.022926370667920186,16.918,2.5070000000000014,0.09237968899697846
135,0.015754716981132073,0.5,-5.988072351863872,-1,23.237,16.652,19.096,4.140999999999998,0.08847912482372546,16.918,-0.26599999999999824,-0.009801753998083803
135,0.03150943396226415,0.5,-4.988072351863872,-1,21.259,20.015,19.096,2.1630000000000003,0.04621597367633863,16.918,3.0970000000000013,0.11412042154911937
135,0.06297169811320755,0.5,-3.9891526177630077,-1,29.417,21.225,19.096,10.321000000000002,0.22052476389897874,16.918,4.307000000000002,0.15870734763062874
135,0.125,0.5,-3,-1,36.29,31.815,19.096,17.194,0.3673774625016025,16.918,14.897000000000002,0.5489350725919376
135,0.25,0.5,-2,-1,23.506,18.311,19.096,4.41,0.094226742446904,16.918,1.3930000000000007,0.05133023804259713
135,0.5,0.5,-1,-1,19.681,16.957,19.096,0.5850000000000009,0.012499465834793406,16.918,0.03900000000000148,0.0014370992703958095
135,1,0.5,0,-1,20.101,14.513,19.096,1.004999999999999,0.021473441305927078,16.918,-2.4049999999999994,-0.08862112167440488
135,0.015754716981132073,2,-5.988072351863872,1,43.854,34.784,19.096,24.758,0.5289944874150678,16.918,17.866,0.6583388606382196
135,0.03150943396226415,2,-4.988072351863872,1,61.491,35.897,19.096,42.394999999999996,0.9058373573778898,16.918,18.979,0.6993514628933599
135,0.06297169811320755,2,-3.9891526177630077,1,65.898,44.056,19.096,46.80199999999999,1,16.918,27.137999999999998,1
135,0.125,2,-3,1,61.333,41.97,19.096,42.236999999999995,0.9024614332720824,16.918,25.052,0.9231336133834476
135,0.25,2,-2,1,52.696,34.389,19.096,33.599999999999994,0.717918037690697,16.918,17.471000000000004,0.6437836244380575
135,0.5,2,-1,1,28.101,23.647,19.096,9.004999999999999,0.19240630742275971,16.918,6.728999999999999,0.2479548971921291
135,1,2,0,1,25.173,17.486,19.096,6.076999999999998,0.12984487842399894,16.918,0.5680000000000014,0.020930061168840792
135,0.015754716981132073,8,-5.988072351863872,3,23.605,23.359,19.096,4.509,0.0963420366650998,16.918,6.4410000000000025,0.2373424718107452
135,0.03150943396226415,8,-4.988072351863872,3,26.582,20.993,19.096,7.486000000000001,0.15995042946882615,16.918,4.074999999999999,0.15015844940673592
135,0.06297169811320755,8,-3.9891526177630077,3,37.144,33.161,19.096,18.048,0.3856245459595744,16.918,16.243000000000002,0.5985334217702116
135,0.125,8,-3,3,55.907,37.636,19.096,36.81099999999999,0.7865262168283407,16.918,20.718000000000004,0.7634313508733144
135,0.25,8,-2,3,56.964,35.541,19.096,37.867999999999995,0.8091107217640272,16.918,18.622999999999998,0.6862333259635934
135,0.5,8,-1,3,36.755,30.568,19.096,17.659000000000002,0.3773129353446435,16.918,13.650000000000002,0.5029847446385144
135,1,8,0,3,23.029,18.941,19.096,3.933,0.08403487030468784,16.918,2.0229999999999997,0.07454491856437467
135,0.015754716981132073,16,-5.988072351863872,4,8.5643,19.858,19.096,-10.5317,-0.2250267082603308,16.918,2.9400000000000013,0.10833517576829543
135,0.03150943396226415,16,-4.988072351863872,4,11.927,20.501,19.096,-7.1690000000000005,-0.15317721464894665,16.918,3.583000000000002,0.13202888938020496
135,0.06297169811320755,16,-3.9891526177630077,4,20.894,25.247,19.096,1.7979999999999983,0.0384171616597581,16.918,8.329,0.306912815977596
