direction,SF,TF,logSF,logTF,cell2,cell2_spont,cell2_lessspont,cell2_norm
90,0.015754717,0.031,-5.988072352,-5.011587974,29.244,13.484,15.76,0.49520817
90,0.031509434,0.031,-4.988072352,-5.011587974,11.676,13.484,-1.808,-0.056810683
90,0.062971698,0.031,-3.989152618,-5.011587974,23.394,13.484,9.91,0.311390416
90,0.125,0.031,-3,-5.011587974,17.54,13.484,4.056,0.127446976
90,0.25,0.031,-2,-5.011587974,14.598,13.484,1.114,0.035003928
90,0.5,0.031,-1,-5.011587974,27.774,13.484,14.29,0.449018068
90,1,0.031,0,-5.011587974,14.629,13.484,1.145,0.035978005
90,0.015754717,0.125,-5.988072352,-3,27.74,13.484,14.256,0.447949725
90,0.031509434,0.125,-4.988072352,-3,32.143,13.484,18.659,0.586300079
90,0.062971698,0.125,-3.989152618,-3,8.768,13.484,-4.716,-0.148185389
90,0.125,0.125,-3,-3,8.7753,13.484,-4.7087,-0.147956009
90,0.25,0.125,-2,-3,11.68,13.484,-1.804,-0.056684996
90,0.5,0.125,-1,-3,5.8395,13.484,-7.6445,-0.240204242
90,1,0.125,0,-3,16.068,13.484,2.584,0.08119403
90,0.015754717,0.5,-5.988072352,-1,45.309,13.484,31.825,1
90,0.031509434,0.5,-4.988072352,-1,37.972,13.484,24.488,0.769457973
90,0.062971698,0.5,-3.989152618,-1,19.009,13.484,5.525,0.173605656
90,0.125,0.5,-3,-1,20.472,13.484,6.988,0.219575805
90,0.25,0.5,-2,-1,27.762,13.484,14.278,0.448641005
90,0.5,0.5,-1,-1,19.002,13.484,5.518,0.173385703
90,1,0.5,0,-1,11.691,13.484,-1.793,-0.056339356
90,0.015754717,2,-5.988072352,1,32.12,13.484,18.636,0.585577376
90,0.031509434,2,-4.988072352,1,21.936,13.484,8.452,0.265577376
90,0.062971698,2,-3.989152618,1,27.747,13.484,14.263,0.448169678
90,0.125,2,-3,1,21.92,13.484,8.436,0.265074627
90,0.25,2,-2,1,11.691,13.484,-1.793,-0.056339356
90,0.5,2,-1,1,13.142,13.484,-0.342,-0.010746269
90,1,2,0,1,13.157,13.484,-0.327,-0.010274941
90,0.015754717,8,-5.988072352,3,45.292,13.484,31.808,0.999465829
90,0.031509434,8,-4.988072352,3,36.513,13.484,23.029,0.723613511
90,0.062971698,8,-3.989152618,3,21.898,13.484,8.414,0.264383346
90,0.125,8,-3,3,14.597,13.484,1.113,0.034972506
90,0.25,8,-2,3,17.547,13.484,4.063,0.127666929
90,0.5,8,-1,3,10.224,13.484,-3.26,-0.102435192
90,1,8,0,3,21.896,13.484,8.412,0.264320503
90,0.015754717,16,-5.988072352,4,35.05,13.484,21.566,0.677643362
90,0.031509434,16,-4.988072352,4,27.733,13.484,14.249,0.447729772
90,0.062971698,16,-3.989152618,4,26.297,13.484,12.813,0.402608013
90,0.125,16,-3,4,30.708,13.484,17.224,0.541209741
90,0.25,16,-2,4,10.227,13.484,-3.257,-0.102340927
90,0.5,16,-1,4,10.219,13.484,-3.265,-0.102592302
90,1,16,0,4,33.61,13.484,20.126,0.632395915
