direction,SF,TF,logSF,logTF,cell1,cell2,cell3,cell1_spont,cell1_lessspont,cell1_norm,cell2_spont,cell2_lessspont,cell2_norm,cell3_spont,cell3_lessspont,cell3_norm
90,0.015754716981132073,0.031,-5.988072351863872,-5.011587974275212,23.388,19.007,7.3076,3.2476,20.140400000000003,0.7334610370219307,3.4291,15.577900000000001,0.6044529118924099,0.79949,6.50811,0.3896719518175302
90,0.03150943396226415,0.031,-4.988072351863872,-5.011587974275212,26.295,21.909,11.682,3.2476,23.047400000000003,0.8393264237383191,3.4291,18.4799,0.7170561735844078,0.79949,10.88251,0.6515883893133015
90,0.06297169811320755,0.031,-3.9891526177630077,-5.011587974275212,30.679,27.768,8.7763,3.2476,27.4314,0.9989803127526456,3.4291,24.338900000000002,0.9443968042713188,0.79949,7.97681,0.47761010830757217
90,0.125,0.031,-3,-5.011587974275212,18.995,20.456,1.4625,3.2476,15.7474,0.5734793913923829,3.4291,17.026899999999998,0.6606769388364846,0.79949,0.6630099999999999,0.03969760818033817
90,0.25,0.031,-2,-5.011587974275212,8.7582,11.679,2.9186,3.2476,5.5106,0.2006817337596597,3.4291,8.2499,0.32011221524218236,0.79949,2.11911,0.12688134186669348
90,0.5,0.031,-1,-5.011587974275212,16.071,7.3054,4.3858,3.2476,12.823400000000001,0.4669949088472436,3.4291,3.8762999999999996,0.1504080025143664,0.79949,3.5863099999999997,0.21472968611820123
90,1,0.031,0,-5.011587974275212,7.3044,11.683,0,3.2476,4.056800000000001,0.14773811518095809,3.4291,8.2539,0.32026742304603073,0.79949,-0.79949,-0.04786932439042936
90,0.015754716981132073,0.125,-5.988072351863872,-3,24.818,23.349,8.7585,3.2476,21.570400000000003,0.7855379214403811,3.4291,19.9199,0.7729309829698235,0.79949,7.959009999999999,0.47654433641030053
90,0.03150943396226415,0.125,-4.988072351863872,-3,19.025,23.408,5.8538,3.2476,15.777399999999998,0.5745719134431195,3.4291,19.978900000000003,0.7752202980765873,0.79949,5.054309999999999,0.3026259302302605
90,0.06297169811320755,0.125,-3.9891526177630077,-3,30.686,21.928,11.683,3.2476,27.4384,0.9992352345644843,3.4291,18.4989,0.7177934106526875,0.79949,10.88351,0.6516482641389909
90,0.125,0.125,-3,-3,20.442,16.06,7.2989,3.2476,17.1944,0.6261753716395843,3.4291,12.630899999999999,0.4901035624071177,0.79949,6.499409999999999,0.3891510408340323
90,0.25,0.125,-2,-3,21.925,8.7749,2.9215,3.2476,18.677400000000002,0.6801823783476697,3.4291,5.3458000000000006,0.20742746945316412,0.79949,2.12201,0.12705497886119277
90,0.5,0.125,-1,-3,13.15,5.8462,1.4618,3.2476,9.9024,0.36061967850717785,3.4291,2.4170999999999996,0.09378819567047829,0.79949,0.66231,0.03965569580235559
90,1,0.125,0,-3,17.527,2.9233,1.4636,3.2476,14.2794,0.5200186457096659,3.4291,-0.5058000000000002,-0.019626026796627342,0.79949,0.66411,0.03976347048859653
90,0.015754716981132073,0.5,-5.988072351863872,-1,18.983,21.905,7.2982,3.2476,15.7354,0.5730423825720882,3.4291,18.475900000000003,0.7169009657805595,0.79949,6.498709999999999,0.38910912845604967
90,0.03150943396226415,0.5,-4.988072351863872,-1,20.453,20.46,10.229,3.2476,17.2054,0.6265759630581877,3.4291,17.030900000000003,0.6608321466403331,0.79949,9.429509999999999,0.5645902675865834
90,0.06297169811320755,0.5,-3.9891526177630077,-1,24.857,19.016,10.234,3.2476,21.6094,0.7869582001063388,3.4291,15.586899999999998,0.6048021294510687,0.79949,9.43451,0.5648896417150304
90,0.125,0.5,-3,-1,23.377,21.913,7.3019,3.2476,20.1294,0.7330604456033271,3.4291,18.4839,0.7172113813882561,0.79949,6.502409999999999,0.3893306653111005
90,0.25,0.5,-2,-1,8.7633,8.7695,2.9222,3.2476,5.515699999999999,0.2008674625082849,3.4291,5.340400000000001,0.2072179389179688,0.79949,2.12271,0.12709689123917536
90,0.5,0.5,-1,-1,11.656,14.587,4.3826,3.2476,8.4084,0.306212080380489,3.4291,11.1579,0.43294828863995277,0.79949,3.58311,0.21453808667599514
90,1,0.5,0,-1,10.232,8.7691,4.3844,3.2476,6.984399999999999,0.2543537003721858,3.4291,5.34,0.20720241813758394,0.79949,3.5849100000000003,0.2146458613622361
