direction,SF,TF,logSF,logTF,cell2,cell4,cell2_spont,cell2_lessspont,cell2_norm,cell4_spont,cell4_lessspont,cell4_norm
0,0.015754717,0.031,-5.988072352,-5.011587974,37.934,29.179,12.321,25.613,0.811925442,3.0314,26.1476,0.815847936
0,0.031509434,0.031,-4.988072352,-5.011587974,42.364,17.533,12.321,30.043,0.952355291,3.0314,14.5016,0.452473666
0,0.062971698,0.031,-3.989152618,-5.011587974,23.379,10.226,12.321,11.058,0.350535726,3.0314,7.1946,0.224483301
0,0.125,0.031,-3,-5.011587974,29.202,21.901,12.321,16.881,0.535123312,3.0314,18.8696,0.588762418
0,0.25,0.031,-2,-5.011587974,20.447,7.3051,12.321,8.126,0.257592088,3.0314,4.2737,0.133346438
0,0.5,0.031,-1,-5.011587974,20.444,11.692,12.321,8.123,0.257496989,3.0314,8.6606,0.270224901
0,1,0.031,0,-5.011587974,10.237,1.4629,12.321,-2.084,-0.066062258,3.0314,-1.5685,-0.048939768
0,0.015754717,0.125,-5.988072352,-3,33.589,27.744,12.321,21.268,0.674190072,3.0314,24.7126,0.771073586
0,0.031509434,0.125,-4.988072352,-3,32.136,24.832,12.321,19.815,0.628130349,3.0314,21.8006,0.680214418
0,0.062971698,0.125,-3.989152618,-3,36.532,17.526,12.321,24.211,0.767482407,3.0314,14.4946,0.452255254
0,0.125,0.125,-3,-3,36.532,8.7691,12.321,24.211,0.767482407,3.0314,5.7377,0.179025635
0,0.25,0.125,-2,-3,11.692,17.528,12.321,-0.629,-0.019939136,3.0314,14.4966,0.452317658
0,0.5,0.125,-1,-3,14.62,4.3855,12.321,2.299,0.072877702,3.0314,1.3541,0.042250137
0,1,0.125,0,-3,11.676,5.8415,12.321,-0.645,-0.020446332,3.0314,2.8101,0.087679721
0,0.015754717,0.5,-5.988072352,-1,43.851,35.081,12.321,31.53,0.999492804,3.0314,32.0496,1
0,0.031509434,0.5,-4.988072352,-1,43.867,29.251,12.321,31.546,1,3.0314,26.2196,0.818094454
0,0.062971698,0.5,-3.989152618,-1,36.539,10.231,12.321,24.218,0.767704305,3.0314,7.1996,0.224639309
0,0.125,0.5,-3,-1,33.592,11.688,12.321,21.271,0.674285171,3.0314,8.6566,0.270100095
0,0.25,0.5,-2,-1,35.077,14.612,12.321,22.756,0.721359285,3.0314,11.5806,0.361333683
0,0.5,0.5,-1,-1,18.997,7.3058,12.321,6.676,0.211627465,3.0314,4.2744,0.133368279
0,1,0.5,0,-1,27.761,7.3026,12.321,15.44,0.489443987,3.0314,4.2712,0.133268434
0,0.015754717,2,-5.988072352,1,24.826,20.444,12.321,12.505,0.396405249,3.0314,17.4126,0.543301632
0,0.031509434,2,-4.988072352,1,40.919,27.768,12.321,28.598,0.906549166,3.0314,24.7366,0.771822425
0,0.062971698,2,-3.989152618,1,39.446,16.078,12.321,27.125,0.859855449,3.0314,13.0466,0.407075283
0,0.125,2,-3,1,39.478,11.696,12.321,27.157,0.860869841,3.0314,8.6646,0.270349708
0,0.25,2,-2,1,40.912,10.234,12.321,28.591,0.906327268,3.0314,7.2026,0.224732914
0,0.5,2,-1,1,17.524,4.3782,12.321,5.203,0.164933748,3.0314,1.3468,0.042022365
0,1,2,0,1,21.91,5.84,12.321,9.589,0.303968807,3.0314,2.8086,0.087632919
0,0.015754717,8,-5.988072352,3,23.375,11.686,12.321,11.054,0.350408927,3.0314,8.6546,0.270037692
0,0.031509434,8,-4.988072352,3,35.069,17.541,12.321,22.748,0.721105687,3.0314,14.5096,0.452723279
0,0.062971698,8,-3.989152618,3,35.055,13.149,12.321,22.734,0.720661891,3.0314,10.1176,0.315685687
0,0.125,8,-3,3,40.942,17.547,12.321,28.621,0.90727826,3.0314,14.5156,0.452910489
0,0.25,8,-2,3,36.531,14.609,12.321,24.21,0.767450707,3.0314,11.5776,0.361240078
0,0.5,8,-1,3,21.904,8.7673,12.321,9.583,0.303778609,3.0314,5.7359,0.178969472
0,1,8,0,3,19,8.7644,12.321,6.679,0.211722564,3.0314,5.733,0.178878988
0,0.015754717,16,-5.988072352,4,17.539,13.15,12.321,5.218,0.165409244,3.0314,10.1186,0.315716889
0,0.031509434,16,-4.988072352,4,37.958,18.981,12.321,25.637,0.812686236,3.0314,15.9496,0.497653637
0,0.062971698,16,-3.989152618,4,29.244,13.161,12.321,16.923,0.536454701,3.0314,10.1296,0.316060107
0,0.125,16,-3,4,32.152,16.069,12.321,19.831,0.628637545,3.0314,13.0376,0.406794469
0,0.25,16,-2,4,29.254,10.235,12.321,16.933,0.536771698,3.0314,7.2036,0.224764116
0,0.5,16,-1,4,33.57,16.048,12.321,21.249,0.673587777,3.0314,13.0166,0.406139234
0,1,16,0,4,17.534,13.149,12.321,5.213,0.165250745,3.0314,10.1176,0.315685687
