direction,SF,TF,logSF,logTF,cell1,cell1_spont,cell1_lessspont,cell1_norm
0,0.031509434,0.031,-4.988072352,-5.011587974,0,2.3347,-2.3347,-0.047837998
0,0.062971698,0.031,-3.989152618,-5.011587974,0.73055,2.3347,-1.60415,-0.03286903
0,0.125,0.031,-3,-5.011587974,0,2.3347,-2.3347,-0.047837998
0,0.25,0.031,-2,-5.011587974,0,2.3347,-2.3347,-0.047837998
0,0.5,0.031,-1,-5.011587974,0,2.3347,-2.3347,-0.047837998
0,1,0.031,0,-5.011587974,0,2.3347,-2.3347,-0.047837998
0,0.031509434,0.125,-4.988072352,-3,2.9207,2.3347,0.586,0.012007139
0,0.062971698,0.125,-3.989152618,-3,0,2.3347,-2.3347,-0.047837998
0,0.125,0.125,-3,-3,0,2.3347,-2.3347,-0.047837998
0,0.25,0.125,-2,-3,1.4625,2.3347,-0.8722,-0.017871376
0,0.5,0.125,-1,-3,0,2.3347,-2.3347,-0.047837998
0,1,0.125,0,-3,0,2.3347,-2.3347,-0.047837998
0,0.031509434,0.5,-4.988072352,-1,9.5011,2.3347,7.1664,0.14683952
0,0.062971698,0.5,-3.989152618,-1,1.4605,2.3347,-0.8742,-0.017912356
0,0.125,0.5,-3,-1,8.0405,2.3347,5.7058,0.116911829
0,0.25,0.5,-2,-1,2.9258,2.3347,0.5911,0.012111638
0,0.5,0.5,-1,-1,0,2.3347,-2.3347,-0.047837998
0,1,0.5,0,-1,1.4595,2.3347,-0.8752,-0.017932846
0,0.031509434,2,-4.988072352,1,7.3087,2.3347,4.974,0.101917249
0,0.062971698,2,-3.989152618,1,13.165,2.3347,10.8303,0.221912823
0,0.125,2,-3,1,4.386,2.3347,2.0513,0.042031133
0,0.25,2,-2,1,5.1186,2.3347,2.7839,0.057042105
0,0.5,2,-1,1,51.139,2.3347,48.8043,1
0,1,2,0,1,24.829,2.3347,22.4943,0.460908158
0,0.031509434,8,-4.988072352,3,0,2.3347,-2.3347,-0.047837998
0,0.062971698,8,-3.989152618,3,5.1113,2.3347,2.7766,0.056892528
0,0.125,8,-3,3,0.72945,2.3347,-1.60525,-0.032891569
0,0.25,8,-2,3,8.041,2.3347,5.7063,0.116922074
0,0.5,8,-1,3,26.294,2.3347,23.9593,0.490926004
0,1,8,0,3,15.341,2.3347,13.0063,0.266499058
0,0.031509434,16,-4.988072352,4,0,2.3347,-2.3347,-0.047837998
0,0.062971698,16,-3.989152618,4,0,2.3347,-2.3347,-0.047837998
0,0.125,16,-3,4,0.73146,2.3347,-1.60324,-0.032850384
0,0.25,16,-2,4,0.73109,2.3347,-1.60361,-0.032857965
0,0.5,16,-1,4,10.955,2.3347,8.6203,0.176629928
0,1,16,0,4,24.201,2.3347,21.8663,0.448040439
